module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
regulation of translational initiation	29	50.0	58	34	5
cellular alcohol biosynthetic process	186	49.865951742627345	373	427	241
cellular lipid biosynthetic process	186	49.865951742627345	373	427	241
phytosteroid biosynthetic process	186	49.865951742627345	373	427	241
sterol biosynthetic process	186	49.865951742627345	373	427	241
ergosterol metabolic process	186	49.865951742627345	373	427	241
secondary alcohol biosynthetic process	186	49.73262032085562	374	427	241
intrinsic component of endoplasmic reticulum membrane	52	49.523809523809526	105	84	32
positive regulation of protein kinase activity	47	49.473684210526315	95	62	15
cell aging	93	49.46808510638298	188	237	144
cellular response to chemical stimulus	182	48.924731182795696	372	289	107
primary metabolic process	203	48.91566265060241	415	407	204
Ras GTPase binding	44	48.888888888888886	90	56	12
regulation of cellular component organization	40	48.78048780487805	82	63	23
chromosomal part	78	48.75	160	207	129
RNA transport	52	48.598130841121495	107	80	28
response to oxidative stress	182	48.53333333333333	375	294	112
reproductive process	82	48.5207100591716	169	129	47
RNA polymerase II regulatory region sequence-specific DNA binding	46	48.421052631578945	95	78	32
protein targeting to ER	29	48.333333333333336	60	46	17
protein targeting to membrane	29	48.333333333333336	60	56	27
chromosomal region	70	48.275862068965516	145	143	73
ribonucleoprotein complex	252	47.90874524714829	526	323	71
molecular adaptor activity	34	47.88732394366197	71	158	124
sequence-specific double-stranded DNA binding	123	47.674418604651166	258	319	196
exonucleolytic trimming involved in rRNA processing	20	47.61904761904762	42	22	2
endosomal part	86	47.51381215469613	181	209	123
maturation of 5.8S rRNA	44	47.31182795698925	93	60	16
proton transmembrane transporter activity	26	47.27272727272727	55	58	32
coated vesicle	23	46.93877551020408	49	30	7
Golgi-associated vesicle	23	46.93877551020408	49	30	7
actin filament-based process	38	46.91358024691358	81	62	24
nucleotide-excision repair	51	46.788990825688074	109	71	20
purine ribonucleoside binding	108	46.753246753246756	231	235	127
guanyl ribonucleotide binding	108	46.753246753246756	231	235	127
protein dimerization activity	171	46.34146341463415	369	339	168
chromatin silencing	126	46.3235294117647	272	281	155
NADP metabolic process	87	46.03174603174603	189	173	86
meiotic cell cycle process	156	45.6140350877193	342	247	91
exocytic process	14	45.16129032258065	31	21	7
organelle envelope lumen	232	45.13618677042802	514	348	116
protein phosphorylation	97	44.70046082949309	217	120	23
process utilizing autophagic mechanism	41	44.086021505376344	93	123	82
translational elongation	67	44.078947368421055	152	68	1
peptidyl-serine modification	80	43.956043956043956	182	92	12
microtubule cytoskeleton organization involved in mitosis	7	43.75	16	7	0
organic substance transport	42	43.75	96	72	30
glucose metabolic process	69	43.67088607594937	158	225	156
whole membrane	119	43.58974358974359	273	298	179
vacuolar part	36	42.857142857142854	84	141	105
positive regulation of transcription by RNA polymerase II	78	42.622950819672134	183	126	48
cell differentiation	23	42.592592592592595	54	39	16
sporulation	23	42.592592592592595	54	39	16
anatomical structure formation involved in morphogenesis	23	42.592592592592595	54	39	16
regulation of transcription by RNA polymerase I	20	42.5531914893617	47	24	4
storage vacuole	45	42.45283018867924	106	82	37
lytic vacuole	45	42.45283018867924	106	82	37
mRNA transport	38	42.22222222222222	90	46	8
RNA export from nucleus	38	42.22222222222222	90	46	8
mitochondrial protein complex	26	41.935483870967744	62	28	2
citrate metabolic process	74	41.80790960451977	177	141	67
oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	10	41.666666666666664	24	10	0
heme-copper terminal oxidase activity	10	41.666666666666664	24	10	0
respiratory chain complex IV	10	41.666666666666664	24	10	0
cellular component assembly	104	41.6	250	138	34
GTPase regulator activity	52	41.6	125	100	48
ribonucleoprotein complex binding	89	41.58878504672897	214	105	16
alpha-amino acid biosynthetic process	341	41.43377885783718	823	444	103
cellular homeostasis	99	41.42259414225941	239	141	42
mRNA processing	86	41.34615384615385	208	203	117
intrinsic component of mitochondrial outer membrane	26	41.26984126984127	63	34	8
regulation of cellular macromolecule biosynthetic process	81	41.11675126903553	197	155	74
intracellular signal transduction	69	41.07142857142857	168	104	35
positive regulation of protein phosphorylation	49	40.833333333333336	120	107	58
hydrolase activity	11	40.74074074074074	27	78	67
membrane fusion	50	40.65040650406504	123	55	5
regulation of gene expression	71	40.57142857142857	175	101	30
membrane protein complex	67	40.36144578313253	166	93	26
rRNA 3'-end processing	46	40.35087719298246	114	54	8
protein metabolic process	91	40.26548672566372	226	210	119
vesicle coat	34	40.0	85	149	115
regulation of biological quality	118	39.73063973063973	297	140	22
positive regulation of molecular function	29	39.726027397260275	73	73	44
protein localization to vacuole	27	39.705882352941174	68	97	70
transmembrane transport	27	39.705882352941174	68	39	12
pyruvate biosynthetic process	79	39.698492462311556	199	231	152
nicotinamide nucleotide biosynthetic process	79	39.698492462311556	199	228	149
ATP generation from ADP	79	39.698492462311556	199	231	152
nucleotide catabolic process	79	39.698492462311556	199	231	152
DNA-templated transcription, termination	51	39.53488372093023	129	123	72
cytosolic transport	28	39.436619718309856	71	82	54
nucleoid	114	38.907849829351534	293	180	66
regulation of cellular process	119	38.888888888888886	306	156	37
enzyme activator activity	52	38.51851851851852	135	56	4
mitotic cell cycle process	169	38.1489841986456	443	420	251
RNA 3'-end processing	77	38.118811881188115	202	114	37
ATP biosynthetic process	80	38.095238095238095	210	170	90
nucleotide binding	181	37.62993762993763	481	280	99
establishment or maintenance of cell polarity	36	37.5	96	138	102
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	28	37.333333333333336	75	28	0
ribonucleoprotein complex biogenesis	177	36.570247933884296	484	314	137
import into cell	83	36.40350877192982	228	108	25
regulation of GTPase activity	56	36.36363636363637	154	109	53
positive regulation of hydrolase activity	57	36.30573248407644	157	98	41
cellular localization	22	36.0655737704918	61	22	0
proximal promoter sequence-specific DNA binding	27	36.0	75	27	0
GTPase binding	24	35.82089552238806	67	34	10
regulation of vacuole organization	25	35.714285714285715	70	57	32
integral component of mitochondrial membrane	26	35.61643835616438	73	32	6
lipid biosynthetic process	82	35.497835497835496	231	123	41
cellular metabolic process	264	35.2	750	525	261
carbohydrate catabolic process	79	35.111111111111114	225	231	152
transferase activity, transferring acyl groups other than amino-acyl groups	31	34.831460674157306	89	64	33
cellular transition metal ion homeostasis	28	34.5679012345679	81	33	5
chromatin binding	29	34.523809523809526	84	76	47
ATP transport	20	34.48275862068966	58	63	43
drug export	20	34.48275862068966	58	63	43
rRNA metabolic process	140	34.229828850855746	409	221	81
internal peptidyl-lysine acetylation	16	34.04255319148936	47	23	7
protein maturation	33	34.02061855670103	97	44	11
ERAD pathway	51	34.0	150	113	62
mitochondrion organization	55	33.95061728395062	162	155	100
negative regulation of transcription, DNA-templated	141	33.89423076923077	416	323	182
organonitrogen compound biosynthetic process	45	33.582089552238806	134	50	5
cellular biosynthetic process	85	33.46456692913386	254	148	63
protein transport	103	33.44155844155844	308	197	94
lipid transporter activity	1	33.333333333333336	3	34	33
cellular chemical homeostasis	18	33.333333333333336	54	92	74
inorganic cation transmembrane transport	44	33.08270676691729	133	109	65
regulation of transcription elongation from RNA polymerase II promoter	27	32.926829268292686	82	30	3
organelle outer membrane	26	32.91139240506329	79	30	4
protein ubiquitination	76	32.900432900432904	231	115	39
modification-dependent protein catabolic process	50	32.89473684210526	152	152	102
nitrogen compound transport	44	32.83582089552239	134	81	37
catalytic complex	108	32.82674772036474	329	190	82
coenzyme binding	360	32.75705186533212	1099	577	217
cytoplasmic vesicle	79	32.64462809917355	242	204	125
glutamine family amino acid metabolic process	77	32.48945147679325	237	103	26
ncRNA processing	129	32.08955223880597	402	220	91
supramolecular fiber organization	49	32.02614379084967	153	106	57
cell wall organization	160	32.0	500	239	79
endocytosis	31	31.95876288659794	97	35	4
spindle pole body organization	21	31.818181818181817	66	21	0
carboxylic acid transport	17	31.48148148148148	54	27	10
vesicle-mediated transport	140	31.319910514541387	447	252	112
protein localization to membrane	14	31.11111111111111	45	45	31
anion binding	257	31.076178960096737	827	484	227
septin ring organization	13	30.952380952380953	42	97	84
polymeric cytoskeletal fiber	8	30.76923076923077	26	21	13
organonitrogen compound metabolic process	58	30.526315789473685	190	103	45
phosphatidylinositol phosphate binding	21	30.434782608695652	69	42	21
organelle membrane contact site	24	30.379746835443036	79	131	107
antioxidant activity	44	30.344827586206897	145	67	23
coenzyme biosynthetic process	23	30.263157894736842	76	122	99
transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	28	30.107526881720432	93	28	0
mitotic actomyosin contractile ring	31	30.097087378640776	103	41	10
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	82	29.927007299270073	274	124	42
intracellular organelle lumen	144	29.690721649484537	485	277	133
peptidyl-lysine modification	27	29.67032967032967	91	29	2
protein-containing complex binding	106	29.608938547486034	358	197	91
growth	36	29.508196721311474	122	121	85
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	166	29.484902309058615	563	357	191
metal ion binding	101	29.27536231884058	345	299	198
Golgi apparatus part	129	29.25170068027211	441	258	129
metabolic process	429	29.22343324250681	1468	896	467
synaptonemal complex organization	26	29.213483146067414	89	41	15
developmental process involved in reproduction	42	29.166666666666668	144	68	26
transcription coregulator activity	28	29.166666666666668	96	30	2
ubiquitin-like protein transferase activity	63	29.032258064516128	217	151	88
DNA-templated transcription, elongation	38	29.00763358778626	131	54	16
fungal-type cell wall organization or biogenesis	160	28.880866425992778	554	246	86
cellular detoxification	16	28.571428571428573	56	27	11
outer mitochondrial membrane protein complex	10	28.571428571428573	35	34	24
cellular respiration	50	28.40909090909091	176	74	24
proteasome-mediated ubiquitin-dependent protein catabolic process	49	28.32369942196532	173	53	4
regulation of cell wall organization or biogenesis	13	27.659574468085108	47	33	20
plasma membrane bounded cell projection part	32	27.586206896551722	116	58	26
ESCRT complex	14	27.45098039215686	51	47	33
organelle envelope	54	27.411167512690355	197	82	28
ubiquitin-like protein binding	37	27.40740740740741	135	70	33
transporter activity	29	27.358490566037737	106	36	7
tubulin binding	24	27.272727272727273	88	122	98
actin cytoskeleton organization	13	27.083333333333332	48	34	21
transition metal ion binding	179	26.998491704374057	663	330	151
cell tip	31	26.956521739130434	115	56	25
preribosome	179	26.71641791044776	670	396	217
ribosomal subunit export from nucleus	25	26.595744680851062	94	121	96
cellular_component	211	26.540880503144653	795	280	69
actin filament bundle organization	10	26.31578947368421	38	12	2
cell wall	131	26.25250501002004	499	224	93
regulation of transcription, DNA-templated	34	26.153846153846153	130	134	100
sister chromatid cohesion	26	26.0	100	28	2
organelle organization	107	25.97087378640777	412	160	53
regulation of nucleic acid-templated transcription	36	25.899280575539567	139	65	29
nucleolar part	45	25.862068965517242	174	99	54
chromatin	43	25.748502994011975	167	59	16
positive regulation of translation	39	25.657894736842106	152	45	6
organelle membrane fusion	19	25.333333333333332	75	49	30
telomere localization	11	25.0	44	13	2
protein glycosylation	54	24.88479262672811	217	127	73
integral component of organelle membrane	28	24.778761061946902	113	47	19
hexose metabolic process	39	24.68354430379747	158	198	159
rRNA modification	52	24.413145539906104	213	91	39
autophagy	57	24.152542372881356	236	130	73
basal RNA polymerase II transcription machinery binding	12	24.0	50	22	10
RNA polymerase core enzyme binding	12	24.0	50	22	10
secretion by cell	29	23.96694214876033	121	37	8
amide biosynthetic process	45	23.93617021276596	188	51	6
maturation of LSU-rRNA	44	23.783783783783782	185	51	7
RNA metabolic process	36	23.68421052631579	152	38	2
Golgi vesicle transport	52	23.636363636363637	220	102	50
rRNA processing	23	23.0	100	124	101
rRNA 5'-end processing	31	22.962962962962962	135	55	24
phospholipid metabolic process	19	22.61904761904762	84	48	29
RNA methylation	52	22.608695652173914	230	86	34
monovalent inorganic cation transport	24	22.429906542056074	107	53	29
chromosome, telomeric region	11	22.0	50	19	8
chromosome organization involved in meiotic cell cycle	29	21.804511278195488	133	63	34
organelle inner membrane	70	21.406727828746178	327	101	31
Ras guanyl-nucleotide exchange factor activity	8	21.05263157894737	38	12	4
regulation of mitotic nuclear division	4	21.05263157894737	19	6	2
microbody membrane	13	20.967741935483872	62	36	23
peroxisomal part	13	20.967741935483872	62	43	30
cation transport	23	20.72072072072072	111	40	17
mitochondrion distribution	6	20.689655172413794	29	7	1
vesicle-mediated transport to the plasma membrane	14	20.58823529411765	68	28	14
vesicle organization	15	20.27027027027027	74	18	3
iron-sulfur cluster binding	40	20.0	200	48	8
establishment of protein localization to vacuole	19	20.0	95	128	109
regulation of protein complex assembly	14	20.0	70	16	2
DNA repair	47	19.915254237288135	236	95	48
ubiquitin-like protein ligase activity	30	19.867549668874172	151	53	23
ubiquitin-protein transferase activity	30	19.867549668874172	151	53	23
histone modification	16	19.27710843373494	83	22	6
cytoskeleton organization	13	19.11764705882353	68	33	20
molecular_function	29	18.83116883116883	154	31	2
cellular component organization	8	18.6046511627907	43	50	42
molecular function regulator	33	18.435754189944134	179	43	10
sister chromatid segregation	22	17.88617886178862	123	258	236
transcription elongation factor complex	6	17.647058823529413	34	65	59
organophosphate biosynthetic process	13	15.853658536585366	82	25	12
large ribosomal subunit	111	15.633802816901408	710	694	583
cellular component assembly involved in morphogenesis	15	15.625	96	41	26
nucleotide biosynthetic process	25	15.432098765432098	162	36	11
post-Golgi vesicle-mediated transport	22	15.384615384615385	143	26	4
Hrd1p ubiquitin ligase complex	4	14.285714285714286	28	45	41
regulation of vesicle-mediated transport	15	14.285714285714286	105	34	19
catalytic activity	22	13.75	160	22	0
cell budding	4	12.903225806451612	31	6	2
cellular bud site selection	4	12.903225806451612	31	6	2
condensed chromosome kinetochore	9	12.857142857142858	70	46	37
microtubule organizing center	8	11.940298507462687	67	45	37
cullin-RING ubiquitin ligase complex	9	11.842105263157896	76	127	118
P-P-bond-hydrolysis-driven transmembrane transporter activity	6	11.538461538461538	52	6	0
cell cycle G2|M phase transition	5	10.869565217391305	46	127	122
vacuolar transport	14	10.687022900763358	131	53	39
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	8	10.666666666666666	75	23	15
maturation of SSU-rRNA	55	10.597302504816955	519	131	76
rRNA catabolic process	4	10.526315789473685	38	4	0
ubiquitin-like protein ligase binding	15	10.273972602739725	146	117	102
nuclear migration	2	10.0	20	26	24
organelle transport along microtubule	2	10.0	20	26	24
double-strand break repair	14	9.58904109589041	146	50	36
cellular protein metabolic process	61	9.472049689440993	644	495	434
response to chemical	9	8.910891089108912	101	17	8
disulfide oxidoreductase activity	12	8.823529411764707	136	108	96
DNA conformation change	4	8.51063829787234	47	32	28
peptidase activity, acting on L-amino acid peptides	10	8.264462809917354	121	131	121
peptide biosynthetic process	51	8.19935691318328	622	487	436
recombinational repair	3	8.108108108108109	37	29	26
non-recombinational repair	11	8.02919708029197	137	16	5
ion homeostasis	1	7.142857142857143	14	46	45
protein quality control for misfolded or incompletely synthesized proteins	4	6.896551724137931	58	27	23
mitotic cell cycle phase transition	3	6.521739130434782	46	40	37
cell cycle G1|S phase transition	3	6.521739130434782	46	40	37
small ribosomal subunit	51	6.3354037267080745	805	129	78
regulation of cell cycle	1	6.25	16	32	31
DNA secondary structure binding	4	6.25	64	51	47
nucleotide-excision repair complex	1	5.882352941176471	17	19	18
DNA-dependent DNA replication maintenance of fidelity	4	5.555555555555555	72	32	28
DNA packaging	4	5.194805194805195	77	25	21
ncRNA export from nucleus	11	4.4534412955465585	247	18	7
DNA recombination	3	4.054054054054054	74	32	29
cellular response to organonitrogen compound	1	4.0	25	2	1
tRNA metabolic process	2	3.8461538461538463	52	100	98
microtubule associated complex	2	3.508771929824561	57	38	36
microtubule	2	3.508771929824561	57	25	23
histone deacetylase complex	1	3.3333333333333335	30	10	9
protein deacetylation	1	3.3333333333333335	30	10	9
maintenance of protein location in cell	1	2.4390243902439024	41	16	15
Golgi cisterna	1	2.272727272727273	44	1	0
small nucleolar ribonucleoprotein complex	2	2.247191011235955	89	13	11
chromosome organization	3	2.142857142857143	140	3	0
regulation of translation	1	1.492537313432836	67	1	0
meiosis I cell cycle process	0	0.0	40	0	0
cytoplasmic vesicle part	0	0.0	35	0	0
glycosylation	0	0.0	65	1	1
vesicle budding from membrane	0	0.0	33	0	0
tRNA-specific ribonuclease activity	0	0.0	44	0	0
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	0	0.0	4	0	0
energy coupled proton transport, down electrochemical gradient	0	0.0	11	0	0
organic anion transport	0	0.0	105	0	0
DNA-directed 5'-3' RNA polymerase activity	0	0.0	19	11	11
spliceosomal complex	0	0.0	2	0	0
negative regulation of cellular amide metabolic process	0	0.0	4	0	0
Rab GTPase binding	0	0.0	1	42	42
endoribonuclease activity, producing 5'-phosphomonoesters	0	0.0	44	0	0
cation transmembrane transporter activity	0	0.0	48	0	0
negative regulation of gene expression	0	0.0	8	0	0
