SNP	gene	p_value	FDR	q_value
YCR041W	AGA2	4.18092358669445E-31	4.81369591923169E-26	4.37128591950675E-26
NCR015C	STE3	2.24570922900472E-30	2.53680695736148E-25	2.30365787936828E-25
BDS1	BDS1	2.54726715248038E-30	2.82416782829075E-25	2.56460841508696E-25
YOL166C	BDS1	2.92582162407721E-30	3.18489355347302E-25	2.89218109723195E-25
YCR041W	HMRA1	3.83991313039425E-30	4.10528335554683E-25	3.72798108330689E-25
TAD2	TAD2	6.79841430801695E-30	7.14072878087678E-25	6.48444930851497E-25
NCR015C	YLR040C	8.87578927014454E-30	9.16196767084142E-25	8.31992318304092E-25
UIP3	YAR028W	9.50192680422015E-30	9.45606931213488E-25	8.58699496843428E-25
YAR028W	YAR028W	9.50192680422015E-30	9.45606931213488E-25	8.58699496843428E-25
YCR041W	GYP8	9.63453405082419E-30	9.45606931213488E-25	8.58699496843428E-25
NJR011W	CBF1	1.01255745733081E-29	9.63924620932772E-25	8.75333671600475E-25
YBR162W	DSE1	1.01431735621429E-29	9.63924620932772E-25	8.75333671600475E-25
NCR015C	MATALPHA1	1.33588982605842E-29	1.24968464685009E-24	1.13483049038782E-24
NBR034W	AMN1	1.45506001562716E-29	1.31991734833029E-24	1.19860834927641E-24
NBR035W	AMN1	1.45506001562716E-29	1.31991734833029E-24	1.19860834927641E-24
YOL163W	BDS1	2.30082808807637E-29	2.05598117449401E-24	1.86702311688003E-24
YOL162W	BDS1	2.64174684520199E-29	2.22762772597919E-24	2.02289423259413E-24
YOL159C	BDS1	2.64174684520199E-29	2.22762772597919E-24	2.02289423259413E-24
NOL052C	BDS1	2.64174684520199E-29	2.22762772597919E-24	2.02289423259413E-24
NOL047W	BDS1	2.64174684520199E-29	2.22762772597919E-24	2.02289423259413E-24
NLR028W	ASP3-1	3.96971904777901E-29	3.30093551765087E-24	2.99755804928576E-24
NBR034W	PRY3	4.59917275793086E-29	3.70308052488818E-24	3.36274331176013E-24
NBR035W	PRY3	4.59917275793086E-29	3.70308052488818E-24	3.36274331176013E-24
gOL01	BDS1	4.63889618580058E-29	3.70308052488818E-24	3.36274331176013E-24
NOL054C	BDS1	1.35534755519638E-28	1.06769411847285E-23	9.69566076613632E-24
gCR02	STE3	1.80101305676603E-28	1.40034776337008E-23	1.27164668544527E-23
CSH1	PRY3	2.20393106618654E-28	1.69166034881747E-23	1.53618574738596E-23
NBR031C	PRY3	2.35388164405545E-28	1.78388682026981E-23	1.61993600557214E-23
CSH1	AMN1	3.16576495253358E-28	2.36918211639665E-23	2.15143885279003E-23
YCR041W	YCR041W	6.77527845467588E-28	5.00785673272762E-23	4.54760208994948E-23
gCR02	MATALPHA1	7.06145642735643E-28	5.1557303732656E-23	4.68188518003156E-23
NLR028W	ASP3-3	7.17147765628099E-28	5.17297432873469E-23	4.6975443037077E-23
TIM22	HO	8.42331652802048E-28	5.93299470782051E-23	5.38771386102496E-23
NDL036C	HO	8.42331652802048E-28	5.93299470782051E-23	5.38771386102496E-23
MAK5	DSE1	9.39779496452718E-28	6.51408920943094E-23	5.9154019940963E-23
NBR031C	AMN1	9.46592782036988E-28	6.51408920943094E-23	5.9154019940963E-23
LEU2	LEU1	1.24538991658073E-27	8.47290698670255E-23	7.69419166264553E-23
LYS14	MRH1	1.36251599636968E-27	9.16560989649129E-23	8.32323066443693E-23
NCR015C	BAR1	1.89524859518995E-27	1.26076295623805E-22	1.14489063100577E-22
gCR02	YLR040C	1.92163855977036E-27	1.2642707152544E-22	1.14807600412749E-22
YCL022C	LEU1	2.14278271630349E-27	1.36918759916446E-22	1.24335034323193E-22
RTN2	HEM3	2.14971578154927E-27	1.36918759916446E-22	1.24335034323193E-22
ACK1	HEM3	2.14971578154927E-27	1.36918759916446E-22	1.24335034323193E-22
NOL053C	BDS1	2.7314908742779E-27	1.71150680565551E-22	1.55420818560887E-22
SHR3	HO	2.74435378717494E-27	1.71150680565551E-22	1.55420818560887E-22
NBR034W	DSE3	3.24921724374285E-27	1.98500881457236E-22	1.80257357897711E-22
NBR035W	DSE3	3.24921724374285E-27	1.98500881457236E-22	1.80257357897711E-22
PHO13	HO	3.46505826683638E-27	2.09548768676336E-22	1.90289872342216E-22
RRI1	HO	4.24953968624017E-27	2.54420238482977E-22	2.31037361889634E-22
GDH2	HO	4.35923525381299E-27	2.55870313521815E-22	2.32354165590129E-22
PRR2	HO	4.35923525381299E-27	2.55870313521815E-22	2.32354165590129E-22
NBR034W	EGT2	5.28655438818969E-27	3.04333058922811E-22	2.76362869119917E-22
NBR035W	EGT2	5.28655438818969E-27	3.04333058922811E-22	2.76362869119917E-22
gCL01	LEU1	6.01678738750926E-27	3.43071887681235E-22	3.11541347264608E-22
EXO5	DSE1	6.18753868908873E-27	3.46213434059299E-22	3.1439416507411E-22
UBS1	DSE1	6.18753868908873E-27	3.46213434059299E-22	3.1439416507411E-22
NHR011W	DOG2	6.62951220156354E-27	3.67508666271725E-22	3.33732226780687E-22
YAR029W	YAR028W	6.98797170940217E-27	3.818274485746E-22	3.46735019752086E-22
GLE1	HEM3	7.01536165620083E-27	3.818274485746E-22	3.46735019752086E-22
NHR001C	FUS1	7.42285067959464E-27	4.00366297105296E-22	3.63570027385688E-22
MAD2	TAD2	9.16787504657588E-27	4.90072607847992E-22	4.45031744041656E-22
TIM22	BRE4	1.10592960319655E-26	5.8080774349517E-22	5.27427729894116E-22
NDL036C	BRE4	1.10592960319655E-26	5.8080774349517E-22	5.27427729894116E-22
YLR257W	HMG1	1.37921735754348E-26	7.1803338905516E-22	6.52041445071897E-22
NCR015C	YCL065W	1.59710540289606E-26	8.24300105765218E-22	7.48541558552485E-22
MCM6	MCM6	1.84353401276517E-26	9.43354789672064E-22	8.56654341774652E-22
PHO13	BRE4	1.97341001953071E-26	1.00125589837293E-21	9.09233961558423E-22
IMG1	MATALPHA1	2.2243956152093E-26	1.11911530411995E-21	1.0162613204668E-21
RPB5	DSE3	2.66840786232289E-26	1.33131471254852E-21	1.20895822150817E-21
FLO10	SGE1	3.04254505583075E-26	1.46901117315114E-21	1.33399948076043E-21
NFT1	SGE1	3.04254505583075E-26	1.46901117315114E-21	1.33399948076043E-21
YKR104W	SGE1	3.04254505583075E-26	1.46901117315114E-21	1.33399948076043E-21
gKR09	SGE1	3.04254505583075E-26	1.46901117315114E-21	1.33399948076043E-21
IMG1	YLR040C	3.45996082204156E-26	1.65718477290309E-21	1.50487870138845E-21
RPB5	AMN1	4.25962435718564E-26	2.0240000669715E-21	1.83798128138626E-21
YBR162W	AMN1	4.33454359906733E-26	2.04338132830089E-21	1.85558127859691E-21
GDH2	BRE4	4.95261037521598E-26	2.29855139416207E-21	2.08729955384614E-21
PRR2	BRE4	4.95261037521598E-26	2.29855139416207E-21	2.08729955384614E-21
CSH1	EGT2	5.02591533953564E-26	2.3146300245544E-21	2.10190045340819E-21
YBR162W	PRY3	5.08217698711731E-26	2.32267398451223E-21	2.10920512106704E-21
PCL10	MRM2	5.20368784687385E-26	2.36019057310975E-21	2.14327369088032E-21
RRI1	BRE4	5.27221875890652E-26	2.37329403121088E-21	2.15517285585778E-21
RPB5	PRY3	5.45235937023655E-26	2.43606818777028E-21	2.21217765867068E-21
YBR144C	DSE1	6.02328925844504E-26	2.67122036691372E-21	2.42571782133952E-21
FLO10	YPR197C	7.54220907110734E-26	3.24857974850239E-21	2.9500141162406E-21
NFT1	YPR197C	7.54220907110734E-26	3.24857974850239E-21	2.9500141162406E-21
YKR104W	YPR197C	7.54220907110734E-26	3.24857974850239E-21	2.9500141162406E-21
gKR09	YPR197C	7.54220907110734E-26	3.24857974850239E-21	2.9500141162406E-21
gKR08	SGE1	7.68394884995735E-26	3.28598968230976E-21	2.98398583353344E-21
SHR3	BRE4	7.83289465935658E-26	3.32592873445606E-21	3.02025422672132E-21
NCR015C	YCR097W-A	8.21887898981152E-26	3.46524549606722E-21	3.14676687076871E-21
CDC8	CBF1	8.83589513153971E-26	3.69436219219881E-21	3.354826250615E-21
MGT1	HEM3	8.95280313968289E-26	3.69436219219881E-21	3.354826250615E-21
RRP12	ICL2	9.00912392554454E-26	3.69436219219881E-21	3.354826250615E-21
RQC2	ICL2	9.00912392554454E-26	3.69436219219881E-21	3.354826250615E-21
gBR08	DSE1	1.03943590103823E-25	4.23340817385522E-21	3.84433039651823E-21
BFA1	CBF1	1.05107811816322E-25	4.25190003445272E-21	3.86112273471566E-21
gJL07	TAD2	1.1141179781009E-25	4.4766658615543E-21	4.06523111872682E-21
TYR1	DSE1	1.23449034519225E-25	4.92726822539895E-21	4.47442019120252E-21
NBR031C	DSE3	1.26550661703991E-25	5.01761389057236E-21	4.55646250145382E-21
RPB5	EGT2	1.36168539318795E-25	5.36343419790397E-21	4.87049967070637E-21
QRI7	NSE4	1.44055088179139E-25	5.63698576022303E-21	5.11891006319649E-21
YDL211C	HO	1.75383276724775E-25	6.81831756775431E-21	6.19166978528363E-21
YOL153C	BDS1	1.91864756795227E-25	7.4109396257182E-21	6.72982601721698E-21
NOL046W	BDS1	1.95982887412105E-25	7.52148024882361E-21	6.83020723726532E-21
gKR07	SGE1	1.9753833257349E-25	7.53288776997334E-21	6.84056633294043E-21
MAK5	ISR1	2.00289866962659E-25	7.58947364262346E-21	6.89195159543081E-21
GSY2	HMG1	2.03307264023096E-25	7.65535857142844E-21	6.95178127026388E-21
RPR1	MDH2	2.13173415782002E-25	7.97669207812972E-21	7.24358213531171E-21
gKR08	YPR197C	2.20031053644711E-25	8.18215812663515E-21	7.43016451605167E-21
gCR02	YCL065W	2.23237203441318E-25	8.25014012138021E-21	7.49189852280972E-21
URA3	MDH2	2.40294685201601E-25	8.82604884886369E-21	8.01487748816393E-21
YEH1	YLL007C	2.47552660528256E-25	9.03719214299567E-21	8.20661533868956E-21
NEL011C	MDH2	2.63145839881239E-25	9.54821809327186E-21	8.67067467655096E-21
IMG1	BAR1	2.90819976318222E-25	1.0488802614199E-20	9.52481335531714E-21
gKR07	YPR197C	2.97233860034266E-25	1.06559353333064E-20	9.67658548924117E-21
YCR041W	HMLALPHA2	2.99088012858711E-25	1.06585834916738E-20	9.67899026461088E-21
YBR144C	ISR1	3.21905720359945E-25	1.14038568114499E-20	1.03557681133956E-20
SLI15	AMN1	3.30474419354916E-25	1.16385450705813E-20	1.05688869933223E-20
NBR031C	EGT2	3.73324673671835E-25	1.30707452312631E-20	1.18694586333571E-20
TYR1	PRY3	4.54904729107503E-25	1.5834405799417E-20	1.43791207995114E-20
gCR02	BAR1	6.95605026094839E-25	2.40727870547109E-20	2.18603411725969E-20
SFI1	YLL007C	7.40744839551002E-25	2.54876122965846E-20	2.31451347620001E-20
YJR054W	CBF1	7.77103246197407E-25	2.65858432840377E-20	2.41424311704916E-20
CSH1	BUD9	8.64229691531093E-25	2.93985750727528E-20	2.66966545925065E-20
NLR076W	YLR179C	8.90870219580039E-25	3.01335945803234E-20	2.73641210211958E-20
UTP20	PDR3	1.07389040838628E-24	3.61201651249524E-20	3.28004867507634E-20
YJR008W	YJR015W	1.17537062429458E-24	3.93125818728828E-20	3.56994996118943E-20
SLI15	PRY3	1.30817926232398E-24	4.35115466710473E-20	3.95125522032284E-20
gEL02	MDH2	1.77760344282989E-24	5.87984765494289E-20	5.33945136837789E-20
gDL01	BRE4	2.14081388877704E-24	7.04234491088205E-20	6.39510755680684E-20
EXO5	AMN1	2.44500109278361E-24	7.95556448777344E-20	7.22439630808307E-20
UBS1	AMN1	2.44500109278361E-24	7.95556448777344E-20	7.22439630808307E-20
YDL211C	BRE4	2.73272079601401E-24	8.84368569447646E-20	8.03089339282122E-20
AGP1	LEU2	2.97015560895484E-24	9.56039915156016E-20	8.68173621626467E-20
gBR08	ISR1	3.00890178296899E-24	9.63332408392932E-20	8.74795887249286E-20
NBR034W	RMA1	3.17403959152304E-24	1.0054495900913E-19	9.13042225700339E-20
NBR035W	RMA1	3.17403959152304E-24	1.0054495900913E-19	9.13042225700339E-20
gDL01	HO	3.6908463922607E-24	1.16300648349419E-19	1.05611861465579E-19
YBR162W	EGT2	3.72067422795562E-24	1.16626715431884E-19	1.05907960859955E-19
NBR034W	BUD9	3.90104973318901E-24	1.21013533989382E-19	1.09891602226916E-19
NBR035W	BUD9	3.90104973318901E-24	1.21013533989382E-19	1.09891602226916E-19
NCR015C	SAG1	4.57648929245254E-24	1.41234399120301E-19	1.282540381826E-19
NCR015C	AGA2	4.60570453592217E-24	1.41407104084604E-19	1.28410870436102E-19
HAT2	YEL057C	4.65827399545256E-24	1.42291423564757E-19	1.29213915197716E-19
YPR015C	ICL2	5.38147554617386E-24	1.63547876981075E-19	1.48516762132059E-19
IMG1	YCR097W-A	6.23253278402186E-24	1.87713554712996E-19	1.70461456723766E-19
EXO5	PRY3	6.27069768627284E-24	1.87713554712996E-19	1.70461456723766E-19
UBS1	PRY3	6.27069768627284E-24	1.87713554712996E-19	1.70461456723766E-19
TYR1	AMN1	7.23135507882291E-24	2.15393897892529E-19	1.95597796122437E-19
gCR02	YCR097W-A	7.40158555216844E-24	2.19372992633323E-19	1.99211186146374E-19
NBR034W	ISR1	8.18059507466137E-24	2.38113409172024E-19	2.16229236375519E-19
NBR035W	ISR1	8.18059507466137E-24	2.38113409172024E-19	2.16229236375519E-19
POL31	YJR015W	8.19296892244104E-24	2.38113409172024E-19	2.16229236375519E-19
NJR006C	YJR015W	8.19296892244104E-24	2.38113409172024E-19	2.16229236375519E-19
POL5	YEL057C	9.03174105291204E-24	2.61222690367013E-19	2.37214624150844E-19
NCR015C	MATALPHA2	9.87536057288371E-24	2.84249292679706E-19	2.58124931771526E-19
CDC13	HO	1.10823868787918E-23	3.17465683349447E-19	2.88288519847662E-19
IMG1	HMRA1	1.12877448075431E-23	3.21808605604638E-19	2.92232299268331E-19
CSH1	DSE3	1.21909210786872E-23	3.45910567936245E-19	3.141191343199E-19
NCR015C	HMRA1	1.44940373746999E-23	4.0932029821033E-19	3.71701097484509E-19
YCR041W	YLR041W	1.52177463309123E-23	4.27740628203738E-19	3.88428479206141E-19
NEL023C	YEL057C	1.57171559712051E-23	4.39713658035965E-19	3.99301109633492E-19
CDC13	BRE4	1.62702632108363E-23	4.53070603419161E-19	4.11430464761203E-19
IMG1	STE3	1.94034570266091E-23	5.37817745567167E-19	4.88388792708338E-19
VPS53	TAD2	1.9811765958306E-23	5.45475575154726E-19	4.95342817892261E-19
YBR162W	BUD9	1.98619569650963E-23	5.45475575154726E-19	4.95342817892261E-19
YBR174C	AMN1	2.96929733285483E-23	8.11744471090557E-19	7.37139868461396E-19
IMG1	YCL065W	3.27599717697491E-23	8.91519001387683E-19	8.09582599966288E-19
RTC2	PRY3	3.46408613849044E-23	9.38439274196616E-19	8.52190594179151E-19
SLI15	EGT2	3.49080195767153E-23	9.41416925954648E-19	8.54894580351412E-19
BCD1	DOG2	3.55626251637962E-23	9.54769891453023E-19	8.67020321371635E-19
PRE3	YJR015W	3.6601393714684E-23	9.78271430265934E-19	8.8836191573558E-19
MAK5	AMN1	3.74369915377687E-23	9.95757870158982E-19	9.04241237938172E-19
YJR056C	CBF1	3.75882771902438E-23	9.95757870158982E-19	9.04241237938172E-19
IRA1	DSE1	3.99527811298994E-23	1.05373383389505E-18	9.5688883309199E-19
BUD23	GYP8	4.21148961847662E-23	1.10588674676521E-18	1.00424855367172E-18
RTC2	AMN1	4.49364441937028E-23	1.1748244800996E-18	1.06685046041938E-18
gCR02	AGA2	5.30043292596818E-23	1.3797273491653E-18	1.25292142157731E-18
YGR290W	MAL31	6.10187606668498E-23	1.58147076728898E-18	1.43612330590779E-18
BUD3	LEU1	6.24516445396794E-23	1.60770024007959E-18	1.45994211935374E-18
NBR031C	RMA1	6.25678500022707E-23	1.60770024007959E-18	1.45994211935374E-18
YLR257W	HMX1	6.52473708137567E-23	1.66938660595537E-18	1.51595910653006E-18
RPB5	BUD9	6.65861115724977E-23	1.69638943015883E-18	1.54048019535828E-18
gCR02	SAG1	6.69283598152828E-23	1.69788372335855E-18	1.54183715328274E-18
YDL196W	HEM3	6.96022379835649E-23	1.75826618575219E-18	1.5966700741974E-18
NBR031C	ISR1	7.59723503407206E-23	1.91112182057288E-18	1.73547728084697E-18
MAL11	MAL31	7.65424003226529E-23	1.91740538296454E-18	1.74118334293894E-18
BUD23	YLR040C	7.99000294000901E-23	1.99317514716061E-18	1.80998937242479E-18
NBR031C	BUD9	8.78520283550617E-23	2.18245107355167E-18	1.98186960869591E-18
PCM1	YEL057C	1.10754992213554E-22	2.74004509779955E-18	2.48821711129947E-18
BUD23	MATALPHA1	1.12290389912073E-22	2.76659814994366E-18	2.51232976504931E-18
RPN6	NSE4	1.25019325445684E-22	3.06758842860076E-18	2.78565707717671E-18
RED1	HMG1	1.32451811737161E-22	3.23669356748191E-18	2.93922035265367E-18
YLL017W	YLL007C	1.38813630022821E-22	3.37836656358553E-18	3.06787267790087E-18
SLI15	DSE3	1.39792008967009E-22	3.38840379040301E-18	3.07698741821567E-18
YBR174C	DSE1	1.40934463793479E-22	3.40232105351938E-18	3.08962559422832E-18
SMF2	DOG2	1.42989066048698E-22	3.43805839099204E-18	3.12207843768085E-18
NNL035W	DHH1	1.44672494695506E-22	3.46462095379782E-18	3.14619972800063E-18
UGA4	HO	1.4529642795918E-22	3.46570012456816E-18	3.14717971595006E-18
NBR038W	DSE1	1.4983245454831E-22	3.55723157262608E-18	3.23029882791746E-18
BUD23	BAR1	1.50322120531076E-22	3.55723157262608E-18	3.23029882791746E-18
IMG1	GYP8	1.54747709136231E-22	3.64754180249046E-18	3.31230895959538E-18
SDC25	YLL007C	1.6101993721491E-22	3.78049996566755E-18	3.43304740180929E-18
SIP2	MCM6	1.68647152248546E-22	3.88342954246967E-18	3.5265170802695E-18
SPT16	MCM6	1.68647152248546E-22	3.88342954246967E-18	3.5265170802695E-18
POX1	MCM6	1.68647152248546E-22	3.88342954246967E-18	3.5265170802695E-18
NGL032C	MCM6	1.68647152248546E-22	3.88342954246967E-18	3.5265170802695E-18
NGL034W	MCM6	1.68647152248546E-22	3.88342954246967E-18	3.5265170802695E-18
RCR1	PDR3	1.79240038357208E-22	4.11153779434817E-18	3.73366069845613E-18
SLI15	RMA1	1.88782649952338E-22	4.31390475856182E-18	3.91742882093065E-18
ECM34	YHL044W	1.9264814022295E-22	4.3854972017178E-18	3.98244145238095E-18
UGA4	HEM3	1.98810535815571E-22	4.50863662727869E-18	4.09426356290104E-18
gCR02	MATALPHA2	2.0777566161543E-22	4.69416732272155E-18	4.26274277933545E-18
RED1	HMX1	2.17153256037418E-22	4.88758670664968E-18	4.43838566241554E-18
AGC1	ICL2	2.20652799336673E-22	4.9192459072768E-18	4.46713517635373E-18
YPR022C	ICL2	2.20652799336673E-22	4.9192459072768E-18	4.46713517635373E-18
IRA1	ISR1	2.2102482075893E-22	4.9192459072768E-18	4.46713517635373E-18
PEX32	PRY3	2.27103024900545E-22	5.03580518444718E-18	4.57298189696754E-18
COS6	MAL31	2.28972693202646E-22	5.03993057725402E-18	4.57672813931263E-18
NGR128W	MAL31	2.28972693202646E-22	5.03993057725402E-18	4.57672813931263E-18
LEU2	BAP2	2.53876188185715E-22	5.56761361099337E-18	5.05591366620308E-18
YBR162W	DSE3	2.71377470469138E-22	5.92970370562417E-18	5.38472532336008E-18
IMG1	AGA2	2.83629221033087E-22	6.17487320628959E-18	5.60736215047448E-18
NBR038W	PRY3	2.9331822897491E-22	6.36267496413184E-18	5.77790370388558E-18
TFC8	SNF8	3.23727657868403E-22	6.99696662004235E-18	6.3538998263795E-18
NUR1	NSE4	3.3213452527898E-22	7.1528479416796E-18	6.49545463952518E-18
NBR041W	AMN1	3.4663747529573E-22	7.43842649124682E-18	6.7547866608207E-18
ECM31	AMN1	3.8608425083618E-22	8.25531825837846E-18	7.49660075529998E-18
ENA5	SSK22	4.51823507903652E-22	9.62658542556483E-18	8.74183954071136E-18
EXO5	EGT2	4.59666508126648E-22	9.72447562480495E-18	8.83073299322181E-18
UBS1	EGT2	4.59666508126648E-22	9.72447562480495E-18	8.83073299322181E-18
MPD2	SPO21	4.95163625922637E-22	1.04385496286768E-17	9.47917894639059E-18
YLR257W	YHB1	5.10956009009494E-22	1.07336743951997E-17	9.74717982514261E-18
NBR038W	AMN1	6.31796035457652E-22	1.3225759744256E-17	1.20102263032171E-17
YPQ1	SPO21	6.36003443686669E-22	1.32674462347602E-17	1.20480815337993E-17
FLO10	ARR1	6.57516574723749E-22	1.35276850016739E-17	1.2284402663469E-17
NFT1	ARR1	6.57516574723749E-22	1.35276850016739E-17	1.2284402663469E-17
YKR104W	ARR1	6.57516574723749E-22	1.35276850016739E-17	1.2284402663469E-17
gKR09	ARR1	6.57516574723749E-22	1.35276850016739E-17	1.2284402663469E-17
VPS63	HMG1	6.98427680872756E-22	1.43201760766403E-17	1.300405864828E-17
AIM22	TAD2	7.58040235797753E-22	1.54893931672451E-17	1.40658170748121E-17
HAT1	SNF8	8.10650866248559E-22	1.65080694244428E-17	1.49908703507854E-17
RPB5	RMA1	8.14328012332061E-22	1.65267373224683E-17	1.50078225474248E-17
YGL204C	MCM6	1.02734243309265E-21	2.07794133051444E-17	1.88696499156695E-17
HIT1	CBF1	1.1400687767235E-21	2.29818173290404E-17	2.08696386686481E-17
GSY2	YEL033W	1.16271822489929E-21	2.33597387634215E-17	2.12128266623453E-17
ECM31	DSE1	1.16868049933312E-21	2.34009977601034E-17	2.12502936885709E-17
BIO2	MAL31	1.20593993775683E-21	2.40665694964323E-17	2.18546950484103E-17
YLR257W	YEL033W	1.23111170480587E-21	2.44872903470256E-17	2.2236748913278E-17
gCL01	BAP2	1.32334097113581E-21	2.62346081376718E-17	2.38234768211711E-17
YCL023C	LEU1	1.33123667540882E-21	2.63040372750143E-17	2.38865249686987E-17
gCR02	HMRA1	1.37980455274366E-21	2.71740115654873E-17	2.46765429569735E-17
gBR08	AMN1	1.39722029381046E-21	2.74267792773288E-17	2.49060796701804E-17
GSY2	YHB1	1.45332707598553E-21	2.84348999255389E-17	2.58215474663657E-17
NCR015C	GYP8	1.4609535915674E-21	2.84910077504533E-17	2.58724986168201E-17
YCL022C	BAP2	1.56549970567301E-21	3.0430706806371E-17	2.76339266990008E-17
MAK5	DSE3	1.6475506674634E-21	3.19219979901554E-17	2.89881585123394E-17
YLR053C	YLR049C	1.67217452951823E-21	3.22945826240236E-17	2.93265001922419E-17
YBR144C	PRY3	1.68662769207174E-21	3.24689768451041E-17	2.94848664488237E-17
gPL11	SNF8	1.83945947173512E-21	3.52976177355592E-17	3.20535368225355E-17
ARN1	YHL044W	1.85643770515191E-21	3.55096023508256E-17	3.2246038671305E-17
YBR174C	PRY3	1.86505828747691E-21	3.5560882237364E-17	3.22926056023575E-17
RTC2	DSE3	1.91163048184578E-21	3.61189568446716E-17	3.27993895193083E-17
NHL007C	YHL044W	1.93052491675639E-21	3.61189568446716E-17	3.27993895193083E-17
NHL006C	YHL044W	1.93052491675639E-21	3.61189568446716E-17	3.27993895193083E-17
COS8	YHL044W	1.93052491675639E-21	3.61189568446716E-17	3.27993895193083E-17
ARN2	YHL044W	1.93052491675639E-21	3.61189568446716E-17	3.27993895193083E-17
YHL044W	YHL044W	1.93052491675639E-21	3.61189568446716E-17	3.27993895193083E-17
