	mean_p_score	mean_q_score	median_p_score	median_q_score	robustness_score
integral component of plasma membrane	0.1637142944419252	0.012972444315276917	0.18493751527336919	0.00528405206073845	2.84172488269208
intracellular protein transport	0.803639380942369	0.017253560119426255	0.803639380942369	0.01221195250853685	0.0020370055744177193
iron-sulfur cluster assembly	0.0	0.016571251436204755	0.0	0.0156097323607637	2.3919914986876867
lipid binding	0.5673800183004168	0.0125709210363264	0.5831256927627536	0.007198789667788641	2.4496720716779574
lipid transport	0.0	0.01936508190026862	0.0	0.0182257423477585	0.2981169497347057
mRNA binding	0.7419084939966458	0.018943015383746726	0.7418407235561477	0.0160362568909022	0.1837266596428232
mRNA processing	0.29654706433377453	0.019706179975888104	0.25	0.0174891857951254	17.032647414750564
metal ion binding	0.568463870596823	0.014678008040743437	0.5898987848797964	0.00846409005028635	0.8261161905178045
metallopeptidase activity	0.0	0.018638822058339805	0.0	0.0137780186200805	0.020328593682249707
mitochondrion organization	0.43327096632893314	0.01635804353924448	0.5580380982585045	0.01206939360633935	0.5428188985103135
negative regulation of ATPase activity	0.0	0.013660609713963946	0.0	0.000727236717571705	0.1655952709253815
negative regulation of protein kinase activity	0.0	0.003719727045618206	0.0	0.00155885374593532	33.320888580796606
negative regulation of transcription by RNA polymerase II	0.4968148685921545	0.012934535650563753	0.4969875341604397	0.006930555980024939	0.0005956816521847894
negative regulation of translation	0.28865206927142767	0.019233907124505817	0.32478371001147255	0.0160362568909022	0.19323626580891198
nuclear chromatin	0.32137560696815515	0.016115653692784233	0.3175364218259275	0.0124842414611589	0.04078647425525281
nucleocytoplasmic transport	0.344746672259648	0.014978492844169982	0.33063253061300435	0.00813691826366608	0.0035081418460820367
nucleotide binding	0.022727272727272728	0.02015434960805896	0.0	0.0201350710129805	0.12379115502649563
nucleus	0.375459457190927	0.015719417247667677	0.33449179123102873	0.0109219940796387	2.050876441896223
peroxisome	0.4516291003984116	0.015502512350535317	0.4425364218259275	0.01098679195856405	2.4283081871668397
porin activity	0.0	0.017998782739061598	0.0	0.01920520164886695	0.7748631640181309
positive regulation of protein maturation	0.0	0.029348629710150575	0.0	0.032143516212707446	4.714312312757104
positive regulation of transcription by RNA polymerase II	0.4520167027451986	0.014585563839961513	0.39223622350928605	0.008984774767631223	0.4771528003440076
proteasome-mediated ubiquitin-dependent protein catabolic process	0.4477941840265908	0.01950727114626965	0.41751778884067947	0.01651730595821245	0.07052067218575879
protein binding, bridging	0.4668404613932578	0.01567996066198325	0.4668404613932578	0.011643725238241299	0.025696609681159336
protein dephosphorylation	0.1875	0.02089543747317115	0.1875	0.0219364485462003	0.0006230676054805062
protein domain specific binding	0.125	0.018235695586838976	0.125	0.01307192179465505	1.178578078189276
protein export from nucleus	0.3598740568633343	0.01351877741762508	0.375	0.00556223527770632	7.0403498265566435
protein folding	0.5733564420042221	0.02313233458190147	0.5773241676218267	0.0212168266205275	0.00046124422998138683
protein phosphorylation	0.6211890705782304	0.014189081072848178	0.7021343846814967	0.00795838154879605	0.89782188487794
protein polyubiquitination	0.614047823423842	0.022537949894859632	0.6086636954979938	0.02184522375682095	0.005117206874858457
protein processing	0.0	0.020172924189312786	0.0	0.015041449240219999	1.5044191265516749
protein secretion	0.0	0.017168030899426964	0.0	0.00514723952683342	4.714312312757104
protein serine|threonine kinase activity	0.2645084654344705	0.013261407260794226	0.125	0.007560286137370759	2.792233050457198
protein transmembrane transporter activity	0.0	0.01443531796010985	0.0	0.00657388030240786	0.4392136620770999
protein ubiquitination	0.6073530742878868	0.019771969418578502	0.5960687306397187	0.0159363587450007	0.00023812710888931502
rRNA binding	0.3157431401260623	0.014904132775788522	0.2853936292780636	0.008919796125088001	2.491393563805657
rRNA processing	0.5130587561935854	0.020407632831262842	0.5865626196831261	0.01855003026350775	0.15559480632182598
regulation of cyclin-dependent protein serine|threonine kinase activity	0.0	0.016974326620174732	0.0	0.012938281575438	0.941933598192497
response to heat	0.014492753623188406	0.013906601938075306	0.0	0.00545133301911234	33.320888580796606
ribonucleoside monophosphate biosynthetic process	0.0	0.030469927971070593	0.0	0.0304786778831406	1.0593607037870671
sequence-specific DNA binding	0.0	0.014684307979827093	0.0	0.00892104008481534	284.12457924372836
serine family amino acid biosynthetic process	0.0	0.008366074501404176	0.0	0.00272670396843869	36.22580734634278
structural molecule activity	0.8730144906241379	0.01420587532510167	0.8730144906241379	0.00517745564635445	0.003463809954335373
transcription by RNA polymerase II	0.58226000000379	0.011770839596670616	0.581170410971667	0.0049897482049006195	1.6980547176476075e-05
transcription, DNA-templated	0.17595548164896088	0.016546542428066607	0.18434750583765216	0.0114349555825681	154.9424431458712
translational initiation	0.3054004893950016	0.024146354062896565	0.25	0.0235070656891686	0.009695051979724874
ubiquitin-dependent protein catabolic process	0.6678873091383876	0.015963644643066734	0.7029425269741062	0.008586249866087	0.8785653709165651
