module_name	reason
positive regulation of chromosome segregation	no linkages
histone deacetylase complex	linkage sets don't intersect
tRNA catabolic ppi_test_handler	linkage sets don't intersect
regulation of transcription by RNA polymerase I	linkage sets don't intersect
cation transmembrane transporter activity	linkage sets don't intersect
vesicle coat	linkage sets don't intersect
storage vacuole	linkage sets don't intersect
regulation of cyclin-dependent protein kinase activity	no linkages
amide biosynthetic ppi_test_handler	linkage sets don't intersect
negative regulation of gene expression	linkage sets don't intersect
tRNA transcription	no linkages
energy coupled proton transport                                                                                                 ,down electrochemical gradient	linkage sets don't intersect
regulation of vacuole organization	linkage sets don't intersect
mitochondrial protein complex	linkage sets don't intersect
regulation of GTPase activity	linkage sets don't intersect
spindle pole body	no linkages
actin cortical patch organization	no linkages
cellular macromolecule localization	no linkages
microtubule cytoskeleton organization involved in mitosis	no linkages
mRNA 3'-end processing	no linkages
intrinsic component of mitochondrial inner membrane	linkage sets don't intersect
regulation of TORC1 signaling	linkage sets don't intersect
mitotic recombination	linkage sets don't intersect
transcription elongation factor complex	linkage sets don't intersect
negative regulation of cellular amide metabolic ppi_test_handler	no linkages
Pex17p-Pex14p docking complex	no linkages
regulation of cell cycle ppi_test_handler	no linkages
stress-activated MAPK cascade	no linkages
ribosomal subunit export from nucleus	linkage sets don't intersect
peptidase activity                                                                                                              ,acting on L-amino acid peptides	no linkages
nuclear export	no linkages
peptidyl-lysine modification	linkage sets don't intersect
regulation of protein phosphorylation	linkage sets don't intersect
transporter complex	no linkages
organonitrogen compound biosynthetic ppi_test_handler	linkage sets don't intersect
glycolipid biosynthetic ppi_test_handler	no linkages
organellar large ribosomal subunit	no linkages
INO80-type complex	no linkages
phosphatase activity	no linkages
cleavage apparatus septin structure	linkage sets don't intersect
positive regulation of MAP kinase activity	no linkages
RNA polymerase core enzyme binding	linkage sets don't intersect
mRNA catabolic ppi_test_handler	no linkages
ion homeostasis	no linkages
peptidase complex	linkage sets don't intersect
organelle fission	no linkages
plasma membrane protein complex	linkage sets don't intersect
metallo-sulfur cluster assembly	no linkages
transcription regulator activity	no linkages
mRNA cleavage factor complex	no linkages
spindle	no linkages
nuclear DNA-directed RNA polymerase complex	no linkages
mitochondrion distribution	linkage sets don't intersect
intrinsic component of plasma membrane	linkage sets don't intersect
regulation of DNA-dependent DNA replication	no linkages
RNA polymerase II transcription factor complex	no linkages
RNA localization	no linkages
Sin3-type complex	no linkages
snRNA binding	no linkages
heterochromatin	linkage sets don't intersect
snoRNA processing	no linkages
transcription factor binding	no linkages
regulation of microtubule polymerization	no linkages
RNA-dependent DNA biosynthetic ppi_test_handler	no linkages
sphingolipid metabolic ppi_test_handler	no linkages
RNA polymerase II basal transcription factor binding	no linkages
transcription factor activity                                                                                                   ,RNA polymerase II core promoter sequence-specific DNA binding	no linkages
positive regulation of cytoskeleton organization	no linkages
drug transport	linkage sets don't intersect
rRNA 3'-end processing	linkage sets don't intersect
threonine-type peptidase activity	no linkages
regulation of DNA recombination	no linkages
regulation of gluconeogenesis	linkage sets don't intersect
fungal-type cell wall assembly	linkage sets don't intersect
Golgi-associated vesicle	linkage sets don't intersect
nuclear-transcribed mRNA catabolic ppi_test_handler                                                                                      ,nonsense-mediated decay	linkage sets don't intersect
cellular bud site selection	no linkages
positive regulation of hydrolase activity	linkage sets don't intersect
transcription factor activity                                                                                                   ,protein binding	no linkages
endonuclease activity	no linkages
phosphoprotein phosphatase activity	no linkages
protein lipidation	no linkages
positive regulation of autophagy	linkage sets don't intersect
protein deacetylase activity	no linkages
tRNA wobble base modification	linkage sets don't intersect
Sm-like protein family complex	no linkages
vacuole organization	linkage sets don't intersect
respiratory chain complex IV	linkage sets don't intersect
chromosome condensation	linkage sets don't intersect
cellular component organization	no linkages
Ras GTPase binding	linkage sets don't intersect
regulation of protein serine|threonine kinase activity	linkage sets don't intersect
histone lysine methylation	linkage sets don't intersect
meiosis I cell cycle ppi_test_handler	no linkages
budding cell bud growth	no linkages
regulation of cellular component organization	linkage sets don't intersect
positive regulation of growth of unicellular organism as a thread of attached cells	no linkages
regulation of ATPase activity	linkage sets don't intersect
dephosphorylation	no linkages
DNA-templated transcription                                                                                                     ,initiation	no linkages
RNA polyadenylation	no linkages
RNA modification	no linkages
organellar small ribosomal subunit	no linkages
ATPase activity                                                                                                                 ,coupled to movement of substances	linkage sets don't intersect
nucleic acid phosphodiester bond hydrolysis	no linkages
snRNA 3'-end processing	linkage sets don't intersect
positive regulation of organelle assembly	no linkages
exosome (RNase complex)	linkage sets don't intersect
telomere maintenance via telomere lengthening	no linkages
sequence-specific DNA binding	no linkages
positive regulation of supramolecular fiber organization	no linkages
respiratory chain complex IV assembly	no linkages
spore wall assembly	linkage sets don't intersect
cytoplasmic region	no linkages
regulation of molecular function	linkage sets don't intersect
vesicle fusion	no linkages
lipid transporter activity	no linkages
ribosome	linkage sets don't intersect
carbon catabolite activation of transcription from RNA polymerase II promoter	no linkages
transcription by RNA polymerase III	no linkages
cellular response to organonitrogen compound	linkage sets don't intersect
lytic vacuole	linkage sets don't intersect
protein processing	linkage sets don't intersect
protein maturation	linkage sets don't intersect
maintenance of DNA repeat elements	no linkages
protein localization to chromosome	no linkages
polyadenylation-dependent mRNA catabolic ppi_test_handler	linkage sets don't intersect
nuclear-transcribed mRNA catabolic ppi_test_handler                                                                                      ,exonucleolytic                                                           ,3'-5'	linkage sets don't intersect
regulation of cell cycle	no linkages
snoRNA 3'-end processing	linkage sets don't intersect
nuclear RNA surveillance	linkage sets don't intersect
vesicle-mediated transport to the plasma membrane	linkage sets don't intersect
growth	linkage sets don't intersect
phosphatidylinositol 3-kinase complex                                                                                           ,class III	linkage sets don't intersect
DNA helicase activity	linkage sets don't intersect
ATPase complex	no linkages
cell budding	no linkages
negative regulation of cellular macromolecule biosynthetic ppi_test_handler	no linkages
transcription by RNA polymerase I	linkage sets don't intersect
intrinsic component of peroxisomal membrane	linkage sets don't intersect
inner mitochondrial membrane organization	no linkages
regulation of macroautophagy	linkage sets don't intersect
protein deacetylation	linkage sets don't intersect
protein serine|threonine kinase activity	linkage sets don't intersect
condensed nuclear chromosome outer kinetochore	no linkages
condensed chromosome	no linkages
tRNA processing	no linkages
internal peptidyl-lysine acetylation	linkage sets don't intersect
spliceosomal tri-snRNP complex	no linkages
heme-copper terminal oxidase activity	linkage sets don't intersect
5'-3' RNA polymerase activity	no linkages
cytoskeletal protein binding	linkage sets don't intersect
prespliceosome	no linkages
H4|H2A histone acetyltransferase complex	no linkages
