Interactor (sys)	Interactor (std)	Function
YBL101C	ECM21	unknown
YBL102W	SFT2	Golgi/endosome/vacuole/sorting
YBL103C	RTG3	metabolism/mitochondria;signaling/stress response;chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YBL104C	YBL104C	amino acid biosynth&transport/nitrogen utilization
YBL105C_tsq535	pkc1-ts	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBL105C_tsq539	pkc1-4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBL106C	SRO77	cell polarity/morphogenesis
YBL107C	YBL107C	unknown
YBR001C	NTH2	metabolism/mitochondria
YBR005W	RCR1	cell polarity/morphogenesis
YBR006W	UGA2	metabolism/mitochondria
YBR007C	DSF2	unknown
YBR008C	FLR1	drug/ion transport
YBR009C	HHF1	chromosome segregation/kinetochore/spindle/microtubule
YBR010W	HHT1	chromatin/transcription
YBR012C	YBR012C	unknown
YBR013C	YBR013C	unknown
YBR014C	GRX7	Golgi/endosome/vacuole/sorting;signaling/stress response
YBR015C	MNN2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR016W	YBR016W	unknown
YBR018C	GAL7	metabolism/mitochondria
YBR019C	GAL10	metabolism/mitochondria
YBR020W	GAL1	metabolism/mitochondria
YBR022W	POA1	ribosome/translation;RNA processing
YBR023C	CHS3	cell polarity/morphogenesis
YBR024W	SCO2	metabolism/mitochondria
YBR025C	OLA1	unknown
YBR026C	ETR1	metabolism/mitochondria
YBR027C	YBR027C	unknown
YBR028C	YBR028C	unknown
YBR030W	RKM3	unknown
YBR031W	RPL4A	ribosome/translation
YBR032W	YBR032W	unknown
YBR033W	EDS1	unknown
YBR034C	HMT1	ribosome/translation;nuclear-cytoplasic transport;RNA processing
YBR036C	CSG2	lipid/sterol/fatty acid biosynth
YBR037C	SCO1	metabolism/mitochondria
YBR040W	FIG1	cell polarity/morphogenesis
YBR041W	FAT1	drug/ion transport;metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YBR042C	CST26	lipid/sterol/fatty acid biosynth
YBR043C	QDR3	drug/ion transport
YBR044C	TCM62	metabolism/mitochondria
YBR045C	GIP1	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YBR046C	ZTA1	unknown
YBR047W	FMP23	unknown
YBR048W	RPS11B	ribosome/translation
YBR050C	REG2	metabolism/mitochondria;signaling/stress response
YBR051W	YBR051W	unknown
YBR052C	RFS1	unknown
YBR053C	YBR053C	unknown
YBR054W	YRO2	unknown
YBR055C_tsq455	prp6-1	RNA processing
YBR056W	YBR056W	unknown
YBR057C	MUM2	DNA replication/repair/HR/cohesion
YBR058C	UBP14	metabolism/mitochondria
YBR059C	AKL1	cell polarity/morphogenesis
YBR060C_tsq295	orc2-1	DNA replication/repair/HR/cohesion
YBR060C_tsq309	orc2-4	DNA replication/repair/HR/cohesion
YBR060C_tsq311	orc2-2	DNA replication/repair/HR/cohesion
YBR060C_tsq331	orc2-3	DNA replication/repair/HR/cohesion
YBR062C	YBR062C	unknown
YBR063C	YBR063C	unknown
YBR064W	YBR064W	RNA processing
YBR065C	ECM2	RNA processing
YBR066C	NRG2	metabolism/mitochondria;chromatin/transcription
YBR067C	TIP1	protein folding/protein glycosylation/cell wall biogenesis&integrity;lipid/sterol/fatty acid biosynth
YBR068C	BAP2	amino acid biosynth&transport/nitrogen utilization
YBR069C	TAT1	amino acid biosynth&transport/nitrogen utilization
YBR071W	YBR071W	unknown
YBR072W	HSP26	signaling/stress response
YBR073W	RDH54	DNA replication/repair/HR/cohesion
YBR074W	YBR074W	unknown
YBR075W	YBR075W	unknown
YBR076W	ECM8	unknown
YBR077C	SLM4	amino acid biosynth&transport/nitrogen utilization
YBR078W	ECM33	unknown
YBR079C_damp	RPG1_damp	ribosome/translation
YBR080C_tsq57	sec18-1	ER<->Golgi traffic
YBR082C	UBC4	protein degradation/proteosome
YBR083W	TEC1	cell polarity/morphogenesis;signaling/stress response;chromatin/transcription
YBR084W	MIS1	ribosome/translation
YBR085W	AAC3	metabolism/mitochondria
YBR086C	IST2	unknown
YBR087W_tsq887	rfc5-1	DNA replication/repair/HR/cohesion
YBR090C	YBR090C	unknown
YBR090C-A	YBR090C-A	unknown
YBR092C	PHO3	unknown
YBR093C	PHO5	metabolism/mitochondria
YBR094W	PBY1	unknown
YBR095C	RXT2	chromatin/transcription
YBR098W	MMS4	DNA replication/repair/HR/cohesion
YBR099C	YBR099C	DNA replication/repair/HR/cohesion
YBR100W	YBR100W	DNA replication/repair/HR/cohesion
YBR103W	SIF2	chromatin/transcription
YBR104W	YMC2	metabolism/mitochondria
YBR105C	VID24	metabolism/mitochondria
YBR107C	IML3	chromosome segregation/kinetochore/spindle/microtubule
YBR108W	AIM3	cell polarity/morphogenesis
YBR109C_tsq157	cmd1-8	signaling/stress response
YBR110W_tsq177	alg1-1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR111C	YSA1	unknown
YBR111W-A	SUS1	nuclear-cytoplasic transport;chromatin/transcription;RNA processing
YBR112C	CYC8	chromatin/transcription
YBR112C_damp	CYC8_damp	chromatin/transcription
YBR114W	RAD16	DNA replication/repair/HR/cohesion
YBR116C	YBR116C	metabolism/mitochondria
YBR118W	TEF2	ribosome/translation
YBR119W	MUD1	RNA processing
YBR123C_tsq568	tfc1-E447K	ribosome/translation;chromatin/transcription
YBR125C	PTC4	lipid/sterol/fatty acid biosynth
YBR126C	TPS1	metabolism/mitochondria
YBR129C	OPY1	unknown
YBR130C	SHE3	RNA processing;chromosome segregation/kinetochore/spindle/microtubule
YBR131W	CCZ1	Golgi/endosome/vacuole/sorting
YBR132C	AGP2	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YBR134W	YBR134W	cell polarity/morphogenesis
YBR137W	YBR137W	unknown
YBR138C	YBR138C	unknown
YBR139W	YBR139W	unknown
YBR141C	YBR141C	unknown
YBR145W	ADH5	metabolism/mitochondria
YBR147W	RTC2	unknown
YBR148W	YSW1	unknown
YBR149W	ARA1	metabolism/mitochondria
YBR150C	TBS1	unknown
YBR151W	APD1	unknown
YBR152W_damp	SPP381_damp	RNA processing
YBR157C	ICS2	unknown
YBR158W	AMN1	chromosome segregation/kinetochore/spindle/microtubule
YBR160W_tsq175	cdc28-13	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YBR161W	CSH1	protein folding/protein glycosylation/cell wall biogenesis&integrity;lipid/sterol/fatty acid biosynth
YBR162C	TOS1	unknown
YBR162W-A	YSY6	unknown
YBR164C	ARL1	Golgi/endosome/vacuole/sorting
YBR165W	UBS1	protein degradation/proteosome
YBR169C	SSE2	unknown
YBR171W	SEC66	ER<->Golgi traffic
YBR172C	SMY2	ER<->Golgi traffic
YBR174C	YBR174C	unknown
YBR175W	SWD3	chromatin/transcription
YBR176W	ECM31	metabolism/mitochondria
YBR177C	EHT1	metabolism/mitochondria
YBR178W	YBR178W	unknown
YBR180W	DTR1	drug/ion transport;G1/S and G2/M cell cycle progression/meiosis
YBR181C	RPS6B	ribosome/translation
YBR182C	SMP1	signaling/stress response;chromatin/transcription
YBR183W	YPC1	metabolism/mitochondria
YBR184W	YBR184W	unknown
YBR185C	MBA1	metabolism/mitochondria
YBR186W	PCH2	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YBR187W	GDT1	unknown
YBR188C	NTC20	RNA processing
YBR193C_tsq741	med8-51	chromatin/transcription
YBR194W	AIM4	unknown
YBR195C	MSI1	chromatin/transcription
YBR196C_tsq94	pgi1-2	metabolism/mitochondria
YBR197C	YBR197C	unknown
YBR198C_tsq509	taf5-3	chromatin/transcription
YBR198C_tsq512	taf5-15	chromatin/transcription
YBR199W	KTR4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR200W	BEM1	cell polarity/morphogenesis
YBR201W	DER1	protein degradation/proteosome
YBR203W	COS111	drug/ion transport
YBR204C	YBR204C	unknown
YBR205W	KTR3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR206W	YBR206W	unknown
YBR207W	FTH1	drug/ion transport
YBR208C	DUR1,2	drug/ion transport;metabolism/mitochondria
YBR210W	ERV15	ER<->Golgi traffic
YBR211C_tsq716	ame1-4	chromosome segregation/kinetochore/spindle/microtubule
YBR212W	NGR1	unknown
YBR213W	MET8	amino acid biosynth&transport/nitrogen utilization
YBR214W	SDS24	unknown
YBR215W	HPC2	chromatin/transcription
YBR216C	YBP1	signaling/stress response;chromatin/transcription
YBR218C	PYC2	metabolism/mitochondria
YBR219C	YBR219C	unknown
YBR220C	YBR220C	unknown
YBR221C	PDB1	metabolism/mitochondria
YBR222C	PCS60	metabolism/mitochondria
YBR223C	TDP1	DNA replication/repair/HR/cohesion
YBR224W	YBR224W	unknown
YBR225W	YBR225W	unknown
YBR226C	YBR226C	unknown
YBR227C	MCX1	unknown
YBR228W	SLX1	DNA replication/repair/HR/cohesion
YBR229C	ROT2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR230C	OM14	metabolism/mitochondria
YBR231C	SWC5	chromatin/transcription
YBR232C	YBR232C	unknown
YBR233W	PBP2	unknown
YBR235W	YBR235W	unknown
YBR236C_tsq78	abd1-5	RNA processing
YBR238C	YBR238C	unknown
YBR239C	ERT1	unknown
YBR240C	THI2	metabolism/mitochondria
YBR241C	YBR241C	unknown
YBR242W	YBR242W	unknown
YBR244W	GPX2	metabolism/mitochondria
YBR245C	ISW1	chromatin/transcription
YBR246W	YBR246W	unknown
YBR247C_tsq542	enp1-1	ribosome/translation;RNA processing
YBR249C	ARO4	amino acid biosynth&transport/nitrogen utilization
YBR250W	SPO23	unknown
YBR255W	MTC4	unknown
YBR257W_damp	POP4_damp	ribosome/translation
YBR258C	SHG1	chromatin/transcription
YBR259W	YBR259W	unknown
YBR260C	RGD1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR261C	TAE1	unknown
YBR262C	AIM5	unknown
YBR263W	SHM1	metabolism/mitochondria
YBR264C	YPT10	Golgi/endosome/vacuole/sorting
YBR265W_tsq543	tsc10-1	lipid/sterol/fatty acid biosynth
YBR266C	SLM6	unknown
YBR267W	REI1	ribosome/translation
YBR269C	FMP21	unknown
YBR270C	BIT2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBR271W	YBR271W	unknown
YBR272C	HSM3	DNA replication/repair/HR/cohesion
YBR273C	UBX7	unknown
YBR274W	CHK1	DNA replication/repair/HR/cohesion
YBR275C	RIF1	DNA replication/repair/HR/cohesion
YBR276C	PPS1	unknown
YBR277C	YBR277C	DNA replication/repair/HR/cohesion
YBR278W	DPB3	DNA replication/repair/HR/cohesion
YBR280C	SAF1	protein degradation/proteosome
YBR281C	DUG2	metabolism/mitochondria
YBR283C	SSH1	ER<->Golgi traffic
YBR284W	YBR284W	unknown
YBR285W	YBR285W	unknown
YBR286W	APE3	unknown
YBR287W	YBR287W	unknown
YBR288C	APM3	Golgi/endosome/vacuole/sorting
YBR289W	SNF5	chromatin/transcription
YBR290W	BSD2	drug/ion transport
YBR291C	CTP1	drug/ion transport;metabolism/mitochondria
YBR292C	YBR292C	unknown
YBR293W	VBA2	amino acid biosynth&transport/nitrogen utilization
YBR294W	SUL1	drug/ion transport;metabolism/mitochondria
YBR295W	PCA1	drug/ion transport
YBR296C	PHO89	drug/ion transport;metabolism/mitochondria
YBR297W	MAL33	metabolism/mitochondria
YBR298C	MAL31	metabolism/mitochondria
YBR299W	MAL32	metabolism/mitochondria
YBR300C	YBR300C	unknown
YBR301W	DAN3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YCL001W	RER1	ER<->Golgi traffic
YCL001W-A	YCL001W-A	unknown
YCL002C	YCL002C	unknown
YCL004W_damp	PGS1_damp	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YCL005W-A	VMA9	Golgi/endosome/vacuole/sorting
YCL006C	YCL006C	unknown
YCL008C	STP22	Golgi/endosome/vacuole/sorting
YCL009C	ILV6	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YCL010C	SGF29	chromatin/transcription
YCL011C	GBP2	nuclear-cytoplasic transport;RNA processing
YCL012W	YCL012W	unknown
YCL013W	YCL013W	unknown
YCL014W	BUD3	cell polarity/morphogenesis
YCL016C	DCC1	DNA replication/repair/HR/cohesion
YCL022C	YCL022C	unknown
YCL023C	YCL023C	unknown
YCL024W	KCC4	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis
YCL025C	AGP1	amino acid biosynth&transport/nitrogen utilization
YCL026C	YCL026C	unknown
YCL026C-A	FRM2	unknown
YCL027W	FUS1	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YCL028W	RNQ1	unknown
YCL029C	BIK1	chromosome segregation/kinetochore/spindle/microtubule
YCL032W	STE50	cell polarity/morphogenesis;signaling/stress response
YCL033C	YCL033C	unknown
YCL034W	LSB5	unknown
YCL035C	GRX1	metabolism/mitochondria
YCL036W	GFD2	unknown
YCL039W	GID7	metabolism/mitochondria
YCL040W	GLK1	metabolism/mitochondria
YCL042W	YCL042W	unknown
YCL044C	MGR1	metabolism/mitochondria
YCL045C	EMC1	unknown
YCL046W	YCL046W	unknown
YCL047C	YCL047C	unknown
YCL048W	SPS22	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis
YCL049C	YCL049C	unknown
YCL050C	APA1	metabolism/mitochondria
YCL051W	LRE1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YCL055W	KAR4	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YCL056C	YCL056C	unknown
YCL057W	PRD1	metabolism/mitochondria;protein degradation/proteosome
YCL060C	YCL060C	DNA replication/repair/HR/cohesion
YCL061C	MRC1	DNA replication/repair/HR/cohesion
YCL062W	YCL062W	unknown
YCL063W	VAC17	Golgi/endosome/vacuole/sorting
YCL064C	CHA1	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YCL069W	VBA3	amino acid biosynth&transport/nitrogen utilization
YCL074W	YCL074W	unknown
YCL075W	YCL075W	unknown
YCL076W	YCL076W	unknown
YCR001W	YCR001W	unknown
YCR002C_tsq84	cdc10-4	cell polarity/morphogenesis
YCR005C	CIT2	metabolism/mitochondria
YCR006C	YCR006C	unknown
YCR007C	YCR007C	unknown
YCR008W	SAT4	drug/ion transport;signaling/stress response
YCR009C	RVS161	cell polarity/morphogenesis
YCR010C	ADY2	drug/ion transport;G1/S and G2/M cell cycle progression/meiosis
YCR011C	ADP1	drug/ion transport
YCR012W_damp	PGK1_damp	metabolism/mitochondria
YCR014C	POL4	DNA replication/repair/HR/cohesion
YCR015C	YCR015C	unknown
YCR016W	YCR016W	unknown
YCR017C	CWH43	protein folding/protein glycosylation/cell wall biogenesis&integrity
YCR019W	MAK32	RNA processing
YCR020C	PET18	metabolism/mitochondria
YCR020C-A	MAK31	unknown
YCR021C	HSP30	drug/ion transport;signaling/stress response
YCR022C	YCR022C	unknown
YCR023C	YCR023C	unknown
YCR024C-A	PMP1	drug/ion transport
YCR025C	YCR025C	unknown
YCR026C	NPP1	metabolism/mitochondria
YCR027C	RHB1	amino acid biosynth&transport/nitrogen utilization
YCR028C-A	RIM1	metabolism/mitochondria
YCR030C	SYP1	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YCR031C	RPS14A	ribosome/translation
YCR032W	BPH1	Golgi/endosome/vacuole/sorting
YCR033W	SNT1	chromatin/transcription
YCR034W	FEN1	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YCR036W	RBK1	unknown
YCR037C	PHO87	drug/ion transport
YCR043C	YCR043C	unknown
YCR044C	PER1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YCR045C	YCR045C	unknown
YCR048W	ARE1	lipid/sterol/fatty acid biosynth
YCR049C	YCR049C	unknown
YCR050C	YCR050C	unknown
YCR051W	YCR051W	unknown
YCR053W	THR4	amino acid biosynth&transport/nitrogen utilization
YCR059C	YIH1	ribosome/translation;amino acid biosynth&transport/nitrogen utilization
YCR060W	TAH1	ribosome/translation
YCR061W	YCR061W	unknown
YCR062W	YCR062W	unknown
YCR063W	BUD31	RNA processing
YCR065W	HCM1	chromosome segregation/kinetochore/spindle/microtubule
YCR066W	RAD18	DNA replication/repair/HR/cohesion
YCR067C	SED4	ER<->Golgi traffic
YCR069W	CPR4	unknown
YCR073C	SSK22	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YCR073W-A	SOL2	unknown
YCR075C	ERS1	amino acid biosynth&transport/nitrogen utilization
YCR076C	YCR076C	unknown
YCR077C	PAT1	RNA processing
YCR079W	PTC6	RNA processing
YCR082W	AHC2	chromatin/transcription
YCR083W	TRX3	metabolism/mitochondria
YCR085W	YCR085W	unknown
YCR086W	CSM1	chromosome segregation/kinetochore/spindle/microtubule
YCR087C-A	LUG1	unknown
YCR087W	YCR087W	unknown
YCR088W	ABP1	cell polarity/morphogenesis
YCR089W	FIG2	cell polarity/morphogenesis
YCR090C	YCR090C	unknown
YCR091W	KIN82	signaling/stress response;chromatin/transcription
YCR092C	MSH3	DNA replication/repair/HR/cohesion
YCR094W	CDC50	lipid/sterol/fatty acid biosynth
YCR095C	OCA4	signaling/stress response
YCR098C	GIT1	drug/ion transport;lipid/sterol/fatty acid biosynth
YCR099C	YCR099C	unknown
YCR100C	YCR100C	unknown
YCR101C	YCR101C	unknown
YCR102C	YCR102C	unknown
YCR102W-A	YCR102W-A	unknown
YCR104W	PAU3	metabolism/mitochondria
YCR105W	ADH7	metabolism/mitochondria
YCR106W	RDS1	unknown
YCR107W	AAD3	metabolism/mitochondria
YDL001W	RMD1	G1/S and G2/M cell cycle progression/meiosis
YDL002C	NHP10	chromatin/transcription
YDL003W_tsq62	mcd1-73	DNA replication/repair/HR/cohesion
YDL005C	MED2	chromatin/transcription
YDL006W	PTC1	signaling/stress response
YDL007W_damp	RPT2_damp	protein degradation/proteosome
YDL008W_damp	APC11_damp	chromosome segregation/kinetochore/spindle/microtubule
YDL010W	GRX6	unknown
YDL011C	YDL011C	unknown
YDL012C	YDL012C	unknown
YDL013W	SLX5	DNA replication/repair/HR/cohesion
YDL015C_damp	TSC13_damp	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YDL017W_tsq131	cdc7-4	DNA replication/repair/HR/cohesion
YDL017W_tsq880	cdc7-1	DNA replication/repair/HR/cohesion
YDL018C	ERP3	ER<->Golgi traffic
YDL019C	OSH2	lipid/sterol/fatty acid biosynth
YDL020C	RPN4	protein degradation/proteosome
YDL023C	YDL023C	unknown
YDL024C	DIA3	unknown
YDL025C	YDL025C	unknown
YDL026W	YDL026W	unknown
YDL027C	YDL027C	unknown
YDL028C_tsq166	mps1-1	chromosome segregation/kinetochore/spindle/microtubule
YDL028C_tsq169	mps1-417	chromosome segregation/kinetochore/spindle/microtubule
YDL029W_tsq886	arp2-14	cell polarity/morphogenesis
YDL033C	SLM3	ribosome/translation
YDL035C	GPR1	signaling/stress response
YDL036C	PUS9	metabolism/mitochondria;ribosome/translation
YDL037C	BSC1	unknown
YDL038C	YDL038C	unknown
YDL039C	PRM7	unknown
YDL048C	STP4	unknown
YDL050C	YDL050C	unknown
YDL051W	LHP1	RNA processing
YDL053C	PBP4	unknown
YDL054C	MCH1	drug/ion transport
YDL056W	MBP1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YDL058W_tsq441	uso1-1	ER<->Golgi traffic
YDL059C	RAD59	DNA replication/repair/HR/cohesion
YDL061C	RPS29B	ribosome/translation
YDL062W	YDL062W	unknown
YDL066W	IDP1	metabolism/mitochondria
YDL070W	BDF2	chromatin/transcription
YDL071C	YDL071C	unknown
YDL074C	BRE1	chromatin/transcription
YDL076C	RXT3	unknown
YDL077C	VAM6	Golgi/endosome/vacuole/sorting
YDL078C	MDH3	metabolism/mitochondria
YDL079C	MRK1	metabolism/mitochondria;signaling/stress response
YDL080C	THI3	metabolism/mitochondria
YDL081C	RPP1A	ribosome/translation
YDL082W	RPL13A	ribosome/translation
YDL083C	RPS16B	ribosome/translation
YDL085W	NDE2	metabolism/mitochondria
YDL086W	YDL086W	unknown
YDL088C	ASM4	nuclear-cytoplasic transport
YDL089W	NUR1	chromosome segregation/kinetochore/spindle/microtubule
YDL091C	UBX3	protein degradation/proteosome
YDL093W	PMT5	drug/ion transport
YDL094C	YDL094C	unknown
