protein.group	BY	RM	1_1_d	1_3_d	1_4_d	1_5_c	2_2_d	2_3_d	2_4_a	2_5_d	3_1_d	3_3_d	3_4_d	3_5_d	4_1_c	4_3_d	4_4_d	5_1_d	5_2_d	5_3_d	5_4_d	5_5_d	6_1_d	6_2_b	6_3_c	6_4_d	6_5_d	6_6_d	6_7_d	7_1_d	7_2_c	7_3_d	7_4_c	7_5_d	7_6_c	7_7_c	7_8_d	8_1_a	8_2_d	8_3_a	8_4_c	8_5_b	8_6_c	8_7_b	9_1_d	9_2_d	9_3_d	9_4_d	9_5_d	9_6_d	9_7_d	10_1_c	10_2_d	10_3_c	10_4_d	11_1_a	11_2_d	11_3_b	12_1_d	12_2_b	13_1_a	13_2_c	13_3_b	13_4_a	13_5_c	14_1_b	14_2_c	14_5_b	14_6_d	14_7_c	15_2_d	15_3_b	15_5_b	16_1_d	17_1_a	17_2_d	17_4_a	17_5_b	18_1_d	18_2_d	18_3_d	19_1_c	19_5_b	20_1_d	20_2_d	20_3_c	20_4_c	20_5_d	21_1_d	21_3_d	21_4_d	21_5_c	22_1_d	22_2_d	22_3_b	22_4_d	22_5_d	23_3_d	23_4_d	23_5_d	24_1_d	25_1_d	25_3_d	25_4_d	26_1_d	26_2_d	26_3_d
"[orf_trans_mod] HSP31/YDR533C SGDID:S000002941, Chr IV from 1502153-1501440, reverse complement, Verified ORF, ""Possible chaperone and cysteine protease with similarity to E. coli Hsp31; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease; exists as a dimer and contains a putative metal-binding site"""	1209752.20582	2995311.96998	3746185.83125	1994255.6398	1149369.1983250002	1349250.2939	1547084.28325	701825.9099750001	5822950.250425	1907642.878125	1990735.33235	1931263.703825	2725061.521175	1770176.6450250002	6584570.927925	1068570.665275	5500861.41365	973387.49515	1146920.69805	3644380.2978	4137428.076025	4105908.1744	3625379.461875	2445095.823625	2412204.7451750003	5210383.755124999	6477533.45645	2406520.226375	1123009.8634	2904067.210975	3371814.951525	3699811.90235	2732459.6871	6423258.6896	803841.380375	1550349.245775	715151.7603	770130.3317000002	830658.09925	1456370.1286749996	5092868.975	2261698.8062750003	4517818.80875	2317500.0862	1845958.637075	905511.019875	3914722.8603	591314.3092	1006833.780775	981473.728875	1649287.48635	1233713.509475	2498248.58205	5444202.932999999	859430.3851249998	1001746.992275	7084127.202025001	1678776.65705	5108162.10365	1204653.579125	2839863.4172	1145781.260725	598117.217675	1557785.1402	5746006.34375	542103.8059	3261191.3649000004	2712105.192	1018947.69485	4226525.849874998	1648911.666275	3796729.62745	1137773.138975	2657032.826925	2005972.674775	1174578.85835	2830376.221075	2225048.415025	713574.47555	868256.78185	4795408.513374999	1309984.12835	1274685.731875	2063941.796425	540363.828975	779682.365375	1577947.5757499996	564625.99925	268785.019325	2735096.841625	1792046.944175	5011848.314175	1678408.284325	8719389.576274997	4970984.3309	3501808.08685	7912563.12435	1003097.86275	552737.1201333333	918766.14945	2109661.8315333333	834586.294775	1183922.059075	3591658.18815	1581844.48955	3004611.0181	2319945.3564750003
"[orf_trans_mod] STL1/YDR536W SGDID:S000002944, Chr IV from 1507997-1509706, Verified ORF, ""Glycerol proton symporter of the plasma membrane, subject to glucose-induced inactivation, strongly but transiently induced when cells are subjected to osmotic shock"""	12556050.87895	NA	4027637.6657666666	8001243.01895	3894760.31995	3840476.6289333333	2265842.63435	3921596.4876	6592537.785775	1909414.6068	NA	3904267.4147500005	3606660.5659	9186545.027125	3524107.49855	2840406.9486	3502646.709800001	2958175.1357	4444947.15205	4962542.7273	3341307.3714	3486126.092625	1391225.8997	2636272.7997	3728187.0259	4815716.1741	2773199.183433333	2848739.2934	NA	1658384.1127	2862875.9222	NA	6551004.774774998	5257485.8573	3386908.28535	2258445.0379	2791709.8689	5162490.759125	7373496.2708	4347197.127350002	3895002.94125	16644908.8597	12237256.9863	NA	NA	16349836.93665	15049537.0463	17310675.275566667	3377261.6099	7709058.182299999	10240070.4709	3776821.15295	17877013.3906	14557789.433866667	25534881.7087	3514253.7032500007	3619527.5827	9959114.2129	3799974.3362	NA	NA	NA	5288148.108275	10093414.2114	NA	11739938.755833333	16624043.8275	29228847.7406	15818409.2311	2453801.4838	17616866.650966667	NA	21474390.4556	11207490.216674998	5301326.158433333	7146775.408624998	9221955.082675	7701534.86455	13243867.9824	6193686.788425	7182606.05315	14538412.879825	16662343.53745	17715672.696466666	17884105.3481	16291708.5113	26599294.01495	16032937.913633332	4931906.2649	24304213.13895	14879316.917475	10268038.88325	22089304.4939	17616527.814525	16329597.589766668	NA	21792591.3013	17610432.684033334	11248194.217366666	15053005.055033335	3026726.9836750007	24767530.545225	19484429.0479	10974001.059425	14314644.896566667	12392820.526533335	2259760.1203
"[orf_trans_mod] YDR539W/YDR539W SGDID:S000002947, Chr IV from 1512085-1513596, Uncharacterized ORF, ""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YDR539W is not an essential gene; homolog of E. coli UbiD"""	303074.85745	522099.01725	NA	NA	NA	379461.04956666665	NA	NA	671228.8407749999	NA	392327.1151	384993.1127	958995.739625	348480.6127666666	293528.69876666664	376147.7041	NA	469886.14215	294873.2274	NA	NA	NA	NA	NA	300248.22625	510707.5473	409795.834	455504.0924	NA	452325.3060333333	NA	NA	NA	543650.4919499999	NA	NA	247909.61643333337	1160202.517525	449380.64480000007	378585.0309	448778.58655	526745.794975	1315333.447575	627273.0968666667	690164.574575	803705.596725	1108978.3643	817089.0939	NA	1381135.940625	NA	918805.248925	NA	406121.354675	377549.8404	NA	439430.5815250001	254035.30175	501463.4749	417096.7285	602104.078525	NA	NA	589371.5438	359793.7248	1174410.549175	NA	547423.589475	724861.596875	1135937.401375	NA	701328.6403	1392584.9067	458863.1721	337757.93815	NA	445598.54019999993	372519.6749	NA	492906.5071	681612.7651	NA	NA	NA	NA	NA	NA	NA	834230.0625	NA	831216.68485	806598.4389666667	NA	1181000.258975	767140.1263	169572.6546	333891.0236	163202.4432	922543.65425	969609.7514	1127644.060225	1538029.6971	783483.553175	601335.3493	1113717.56755	429130.647825	495919.4358750001
"[orf_trans_mod] WBP1/YEL002C SGDID:S000000728, Chr V from 150013-148721, reverse complement, Verified ORF, ""Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum"""	67403152.68069	78868953.0392	80950107.531225	72041611.176575	71340715.099475	72404460.311075	81321695.72435	77190878.658275	62414000.73800001	71579248.19165	62681574.126075	67857908.453175	47561327.375975	87705635.42882499	48142928.81007499	82697884.789775	68295107.61937499	48688254.0547	83557249.3189	70203987.359625	78093835.24302499	89356381.981425	72720035.243425	71114238.00465	88334117.11835	74757135.3585	73497342.89577499	80638264.906425	74899874.904675	83478397.0979	67050059.40555	74052960.86309999	72030575.518825	58301851.70529999	73494826.46180001	89432621.07607499	84346296.4306	56906182.537	84804948.62670001	66242700.40515	74376682.447025	94625270.21545	50078579.02955	81173593.109875	88978000.60080001	71993541.253575	76429404.22562501	74858851.793175	89924816.30593334	58460483.3404	104472658.006875	73639515.5669	115347940.4521	107008094.615575	133700025.3834	101748769.501975	80966154.77829999	123199514.152575	70787654.98575	91201266.41075	83692500.37505001	84466584.46075	101762839.75835	84592529.532225	86402956.17757499	84466876.069125	128892697.994425	84781673.680175	85331185.0755	73427871.508575	78550344.688875	89061569.72225	79293373.93395	87778226.177075	50554883.729175	68290752.59797499	89162551.288625	94462698.28345	84994320.8903	68296194.9312	62152610.555125	53598858.71515	55517864.86233333	66541214.02295	56004007.94916666	64931065.7464	75070348.52437499	61612271.3962	51872533.69636667	92658180.595025	58452672.40195	81984927.53145	82200012.09295	70709626.05145	83688080.45380001	92941957.801075	63561880.0496	105733087.591425	83056197.397525	99532747.580775	43449286.602225	68838641.85997501	82178260.2726	87863922.730025	53369717.344025	85171521.766375	52725929.234875
"[orf_trans_mod] VAC8/YEL013W SGDID:S000000739, Chr V from 128825-130561, Verified ORF, ""Phosphorylated vacuolar membrane protein that interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions"""	95135708.7478	80586201.50319001	83653811.15630001	68051086.2474	97824286.4268	99910295.69945	73998817.60232499	64253232.974725	80526845.15619999	63364801.538625	90451266.1469	88991265.065125	75697914.82455	103350977.9552	76723573.2365	68849046.80095	74935859.726925	62456297.87840001	66852453.07465001	98880235.3876	54248450.8091	112032541.544475	60870578.53496667	76584106.25310001	89882918.057325	101297017.38585	48965041.01505	79307029.350025	71089249.50575	75365691.5278	43659156.614025	89070782.19150001	114458769.73895	54621703.2909	98321463.35103332	74246705.806125	93170422.272375	31712570.75265	62027793.29955	59573245.57305001	84914244.88412501	86623241.3827	27332048.9732	96724919.4414	67730505.67673333	29747121.11305	67028063.77985	30517582.0344	39665325.2071	27663203.3788	81471659.25225	37618058.80455	93189336.768225	56903737.32102501	84882143.370175	101382029.055975	78021577.88012499	96465231.6283	46334952.86465	65160327.21322501	39886323.866675	42381068.806925	82656259.632025	86469900.391675	86102228.97746666	38081836.798225	99788974.03725	89093102.95144999	43361215.2951	37716792.974875	61855548.4327	62137942.00275	46182443.904875	95702085.14045	80078051.8073	91078733.2968	110263699.2655	81890409.74412501	110046961.59687498	84598389.1761	114060674.1929	26978818.0278	21288350.6235	27618214.90065	39842372.395875	27156335.5648	41075895.3306	18967593.94285	15933371.6981	67831090.5862	27211989.23426667	68139058.75996667	60229188.466575	35858291.343399994	45506922.65915	73466196.972775	37757900.1619	NA	58522179.22372501	71622718.137025	24312839.8444	63577082.29475001	111212606.174	116309050.2376	36368075.811966665	102499102.99456666	26788547.5693
"[orf_trans_mod] TIM9/YEL020W-A SGDID:S000007256, Chr V from 117211-117474, Verified ORF, ""Mitochondrial intermembrane space protein, forms a complex with Mrs11p/Tim10p that mediates import and insertion of a subset of polytopic inner membrane proteins; may prevent aggregation of incoming proteins in a chaperone-like manner"""	1719862.07184	3292044.2498	1830710.236	1931055.983875	2014538.78935	2274863.13625	2250825.951275	2849705.0594999995	3726823.50795	1391417.8371	1394263.755025	2190186.924275	2693515.99885	2796741.38935	2299175.53765	2143903.270325	2819915.84455	3246929.471775	3015125.9783499995	1848116.39655	1918834.481675	2709960.571875	1326150.6233	3122809.864275	2632393.1018250003	2933323.521375	2720826.582175	2484551.5768	1656839.707975	2652674.295025	2464427.480825	1882838.587133333	2324300.973525	3301288.276	2545176.1546750003	3355619.4006000008	2187108.3852	2376207.835175	2855443.52505	1420895.9977000004	3830971.87765	2530880.567175	2350063.099075	1596468.115425	2260117.694425	1975082.6552	2485131.685725	2033781.83365	1215929.800425	2361579.002875	1627302.2469499996	1728125.88625	1545772.08455	1889113.3412	1445621.9294500004	2341492.369025	1648422.70785	2711292.98335	2586451.0759500004	2728619.21765	2255535.49145	1716306.365575	1566601.4034749996	1601869.0018000002	2210176.1275	2968222.4616250005	3978581.268825	1280546.59005	1903564.9458	2889687.0851000007	1427371.3217000002	2906007.938825	1768061.5494	2430123.6557	2456181.506575	1489008.4670750003	2881273.1587	2660762.43245	1933173.66125	1786983.403975	2862420.028675	NA	1084654.8153	2378928.033675	1888293.63305	1897266.8256	1747838.2762999998	1526461.3681750004	1772611.9662499996	1744072.658725	1829331.5234250003	2403473.104075	1950378.445725	3109546.1981	2468836.89065	2343459.2036	2253645.054475	2257927.847575	2559922.8363750004	2694511.9472	2352438.493275	2242981.0834	3025064.6593	3288207.0122	3091775.552175	2159209.9699250003	1923196.508225
"[orf_trans_mod] URA3/YEL021W SGDID:S000000747, Chr V from 116167-116970, Verified ORF, ""Orotidine-5'-phosphate (OMP) decarboxylase, catalyzes the sixth enzymatic step in the de novo biosynthesis of pyrimidines, converting OMP into uridine monophosphate (UMP); converts 5-FOA into 5-fluorouracil, a toxic compound"""	787354.52504	NA	934897.667925	880839.3173	NA	NA	NA	1087751.7743	NA	1158125.7845	NA	913810.9395	NA	1066400.036575	NA	955631.5361	922613.78245	NA	NA	NA	853509.70785	801905.25635	871261.4138750002	1089853.356475	877147.1483250002	672467.5759749999	NA	NA	901142.29725	NA	795703.151975	1086109.1412666666	NA	887494.3213999999	757377.296675	996087.3032	893382.9267	NA	NA	747387.50465	NA	1825436.562525	NA	NA	NA	NA	2408123.316475	NA	1138938.26285	NA	928689.754975	NA	NA	NA	NA	NA	1035118.6202	1482652.11105	1174423.394175	1252527.210425	NA	1476668.6761	NA	795802.51095	NA	NA	1507620.099125	NA	NA	1607592.418775	NA	NA	NA	1096085.5530249998	938552.30585	834560.8862666669	756112.83825	869797.9911750002	NA	697275.6476499999	NA	598232.17725	NA	797229.1528333335	NA	865151.9176666667	NA	1086799.99675	1461881.72755	1179184.510375	NA	NA	1064532.7111	1191420.912125	NA	1363546.81185	NA	NA	1057985.626525	NA	NA	NA	1199585.490125	NA	NA	1232171.455475	NA
"[orf_trans_mod] RIP1/YEL024W SGDID:S000000750, Chr V from 107260-107907, Verified ORF, ""Ubiquinol-cytochrome-c reductase, a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration"""	113622.1566	353393.44612	240200.42496666664	739605.7052	421333.66153333336	340391.91173333325	1098078.7825666666	1128437.736875	421879.535075	187537.2166	116753.2876	240849.7377	275704.6122	303317.11003333336	NA	483529.2803000001	288818.78536666674	NA	450269.0689	224914.81255	NA	416926.23335	NA	123992.00736666664	47380.50115	87401.5124	NA	NA	110392.20895	198645.7452	64829.81686666666	65892.9786	169770.12405	152274.0974	157391.54856666664	307486.08525	NA	NA	884276.606975	NA	1128079.939875	NA	NA	590675.9375	784855.2219499998	NA	631815.1985500001	602428.92725	NA	NA	172425.9654	NA	NA	NA	NA	382315.307175	149700.6157	NA	106507.8306	376046.8462	NA	NA	NA	NA	NA	334296.2995333333	194806.73346666663	NA	NA	NA	NA	453434.2221000001	NA	114160.63725	94444.0593	231388.39966666664	NA	53590.9844	77253.1499	136323.9983	87760.24256666668	NA	NA	849170.8423	1553799.0215	1579665.93115	3018504.578175001	4042046.571266666	2735101.4877	1413630.0150999997	1955987.92315	1712234.8776250002	2283058.132675	1630001.33565	2897649.282150001	1405040.8035	1431515.4330333334	NA	NA	NA	NA	NA	NA	1944151.09725	NA	136924.4684	NA
"[orf_trans_mod] YEL025C/YEL025C SGDID:S000000751, Chr V from 106147-102581, reverse complement, Uncharacterized ORF, ""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus"""	893611.6369124998	881021.007875	NA	NA	NA	NA	NA	NA	682514.7497333335	NA	2254465.453175	658259.8854333332	316185.4058	844292.830875	551733.87905	1169380.24005	657820.9007	450047.50465	1687963.0115500004	2489562.699	NA	699426.3123000001	NA	721368.8755999998	661230.5741666667	723593.6899666665	1399256.044675	1147801.7344	1182556.2476	896264.1975000001	622589.8425	901880.222425	411385.6615	725029.7893000002	579296.79155	1072506.3421666666	585657.1400333333	486337.994625	737805.974975	NA	629274.0823	1148186.649075	1279389.607675	1841769.872325	1135402.854025	1462293.3838666666	1585179.0277333334	1561709.6914	480240.48315	NA	1566365.9011	1243488.8034	2250534.817625	2644707.7993	3402781.4024250004	2000078.755375	1894204.928175	3759999.505675	2170457.22475	2180583.468925	1984214.755225	1728216.049125	1226965.752075	1946731.955575	2023922.66475	1515890.498625	2786959.37725	1842357.306325	1996916.217175	2440824.76295	2039163.9209999999	1571632.88345	2338900.830425	831053.5490750001	717303.5003	889505.11095	628937.182025	728326.17965	767819.39795	693242.8096	413651.66536666674	1047140.9227	NA	1502675.1244	NA	1884959.7989	NA	NA	NA	628523.88285	815463.4428999998	1082248.3965	NA	1059327.3963	1504573.60045	927160.179975	930684.25985	1333103.500475	1262827.1976	1360770.50155	576118.067575	829335.9561000002	1140059.778575	1095132.528225	921376.876575	1146750.614375	NA
"[orf_trans_mod] SNU13/YEL026W SGDID:S000000752, Chr V from 101943-102323, Verified ORF, ""RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein"""	7081992.516069999	7512209.573109998	5457670.0891	4831181.235575	5635550.6096	4854765.9419	4089768.129475	4816256.673025001	4985724.886825	3790338.925125	4060249.76275	5845204.108375	4400641.241175	8019985.649850002	3395609.9657499995	6278648.037825	5999126.5082	5245608.08525	7149627.498950001	4675055.491575	4957051.965225	5363694.093775	3843209.72555	5892125.8968	6007030.816125001	5609984.025075	4734923.58765	5513525.307275	5338091.529525	5436378.1998	4081552.28925	4471389.76585	6127241.025675	5001864.2469999995	5968884.105575	6247949.7341749985	5313098.643449998	4457276.820575002	7585459.361175002	5720090.69995	5286210.4191	5951550.405925	4130232.400725	4588486.7151	4714723.834825	5101575.64665	5066788.53695	5599434.562000001	5493338.913624999	4744678.058150001	5958960.2406	5126700.7722499985	7667690.132225	6606737.097925	8832271.237824999	6297354.0207750015	4903706.9362	7807810.677275	4211786.8644	5340046.955975	4818057.7643	5909663.1173749985	7056243.04	5882403.214325	4889930.984775	6015070.094075	9147212.99825	5860695.491049998	6865780.490050001	5543947.9558000015	5816680.693025	5454415.9750500005	5294828.76915	7696042.9568	4874940.263675	5424003.525525	7732840.730899999	6686879.427749999	8793925.294725	6272795.729775	5450558.9015	3569647.3448	5195393.1931	5192335.3101	5457913.48385	4236903.2309	4256203.41475	3273252.582425	3118228.09955	5031917.814625	3521830.87465	4661791.390775	5061100.3696	5782230.48785	5743528.667275	4893760.487975	4267117.3506000005	6750694.501625001	6295780.117250001	7161611.688425	4161672.41015	5781305.471275	7424405.17695	7200601.525975	5720300.034275	7464548.120325001	4027041.246125
"[orf_trans_mod] CUP5/YEL027W SGDID:S000000753, Chr V from 100769-101251, Verified ORF, ""Proteolipid subunit of the vacuolar H(+)-ATPase V0 sector (subunit c; dicyclohexylcarbodiimide binding subunit); required for vacuolar acidification and important for copper and iron metal ion homeostasis"""	1930143.4053444443	2496156.33343	3484269.2891	1843363.97495	2395964.84325	1883467.109725	3238854.6843	3012260.7095	2189522.93465	3232119.42365	5491733.09385	2002158.328	2366469.5875666663	2034155.60625	2969474.3392	2160913.73625	2450461.307425	1692735.79315	1600277.3775666666	2095828.283475	2090304.122575	2193169.15255	3397241.412	3223802.232025	3557971.9085	2373294.5406666663	2553209.766575	2986553.32645	1751081.3851500002	3327107.50645	1554590.8856333334	3370122.91815	1710612.510475	1202209.6997	1501979.4681	2402948.0077	3498156.981925	1986090.1465	2019632.42435	1624000.567575	2197164.93005	2499725.396925	2916584.604425	2776345.71185	1939133.605675	3862652.763466667	2552508.46455	3157839.8802500004	3962533.6638	2683941.27115	1990203.162175	3873363.1787	3303453.4145750008	2604809.61745	2953260.763225	2211237.6422	3173504.6087	2142689.90735	3831883.427525	2064725.117575	3186538.27425	4319015.353125	2061778.6184	2582181.54095	2340520.053525	2613213.825775	1886302.2839333331	2067063.72505	2591266.821025	3613362.6888	2003831.2656	1550779.7388999998	2384004.43465	2627864.1955500003	2670157.8408	2342844.238275	2098467.132525	2404776.459875	2504930.886775	1521790.3121	2680664.123725	1534680.2917	2721568.302	2363415.468525	3298845.0774250007	2393434.553466667	2783126.994175	3804626.8238	2721627.9143	2176245.82725	3000970.556000001	3717047.267125	1910183.4656333332	2137203.599475	2621614.323775	2734792.73225	2490581.5866	1888465.45615	3089607.289675	2431027.41495	4545830.58345	1675902.84895	2309368.8277000003	2822941.233625	2706468.67765	3155439.479775001	2321578.070825
"[orf_trans_mod] ECM10/YEL030W SGDID:S000000756, Chr V from 94644-96578, Verified ORF, ""Heat shock protein of the Hsp70 family, localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations"""	3335064.0206125	2282876.342425	3810769.09915	NA	2963372.4425	3049784.97115	3076324.09365	4065267.27915	2710850.752466667	4249575.3259999985	3031744.839275	4144149.153725	2303123.1246	5622124.5064	1724672.9974666666	2012308.2924	NA	2192092.3312333333	NA	2867652.48375	2302112.98515	2269325.35935	2643392.3430000003	4066056.1116	1926526.710175	3327427.421875	NA	2378781.9520500004	2565018.1451	2650926.0614	3715520.043525	2358433.520225	3437574.4228	NA	4579515.68065	1477667.4981	2925131.757325	1598628.47385	3784933.547075	3603434.1936	2064361.874675	2646031.811125	769109.5583	3197696.56355	2882875.01925	1979693.6024	1502174.9744	1832144.8424	5179248.3554	2217967.432366667	1358183.059033333	2860970.940025	2374882.777	3239677.063566666	4394101.1393	3715855.30125	3203894.4715	3440031.905325	2679031.714525	1753567.8334	3481074.2391	3648035.725925	4351970.2719	2611946.26605	4486839.4063	2125271.0990500003	2762882.221225	2823577.2805750007	2456349.051	3003199.759175	2141413.69335	1915080.325666667	2348486.606	2866110.199125	1969051.7141333332	2190532.828875	3259225.72055	3197736.319825	2724030.21145	2967570.002775	3746000.40545	NA	3556414.173	2133618.5936	2245756.037766667	2263438.5585	2059023.4358	2363546.233533333	1452234.4687	1606476.336	NA	1784902.7879	1350555.95455	NA	1194762.1304	2570610.24475	2383116.829125	1921538.3502333327	2561157.641925	2590547.5258	NA	1381155.5529	2944166.3479	2735928.5457	2175050.53105	3033768.2058	3196303.9894
"[orf_trans_mod] SPF1/YEL031W SGDID:S000000757, Chr V from 90258-93905, Verified ORF, ""P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1"""	1614926.85485	1321216.0427	1231491.007866667	1104174.9565	1093916.96145	NA	959613.0425	1131671.1456	1182590.6813	1550815.2036666663	NA	1191889.53165	1429367.5451	1448442.73605	1958916.15255	NA	NA	1697163.34835	1565699.44005	1360943.539833333	913604.4591	1061872.1477	1117272.1526	1460245.78045	1153525.3055666666	1477091.071025	1365232.3066500002	NA	892792.6023	851430.2004	1692358.637025	1344175.6994	1725572.267533333	1636154.7670333337	887695.6161	1607870.3411	NA	1681144.0042666662	1583014.072733333	1192871.8216499998	1238118.8979999998	1371161.918625	1345309.7043	1361740.8607499998	1215957.17045	2211660.046	1451646.925375	2071750.52545	1789904.3901666666	1977482.858425	1127816.517	1046170.8119666668	1531281.346275	1322532.530933333	1568985.8040999996	1143037.85805	1912007.0924333332	1543706.032025	1539548.34045	2103266.27685	866934.7871000002	1387375.8331000002	1410691.0965	1216845.9059666668	1048615.3271	1683546.1309250004	1422312.5679	1642430.083833333	1727345.7686	2447794.916425	1580569.9164333334	1337074.47805	1400862.4865	1255650.566275	1165802.4193	1424752.5422	1133954.62815	1309493.493933333	1052746.1570000001	NA	1048512.64495	1081971.1711	1722730.5566500004	2021208.5372	1449358.900633333	1228205.0593	2729529.6932	1825813.938433333	1489731.6126	1536653.5425	1088314.129	1194588.69405	988080.4483	1635893.0418333334	1620584.7489	1466261.783166667	1445765.788625	1866185.464575	1550993.761175	1481962.9978	997738.4798	1497084.9763	1083292.0206	1518981.1074	1613517.9949333337	1853009.038825	1367583.03695
"[orf_trans_mod] HYP2/YEL034W SGDID:S000000760, Chr V from 85676-86149, Verified ORF, ""Translation initiation factor eIF-5A, promotes formation of the first peptide bond; similar to and functionally redundant with Anb1p; possible role in translation elongation; undergoes an essential hypusination modification"""	27128069.30678	56670971.24735	30861609.39175	53622775.7386	30724768.927875	52838047.124725	47294241.865925	41558400.887075	39783802.801325	19972767.110999998	17881753.325875	48822168.6383	39509545.655999996	48149194.89275	35759880.090575	40758483.3577	18608133.545875	34095629.736125	57454760.56195	32947398.623725	22172657.4626	49315054.87795001	30753496.158375	47545516.453775	25460700.2571	27643504.957625	41498660.85095	29135888.64705	41060833.70055	27150717.07755	31405457.8432	20643986.98095	27988287.842875	17195612.922525	40586968.96585	45869302.40005	24134805.710025	39323148.218825	55822335.7326	21896849.5434	45251984.284325	28571656.028425	26957745.724825	46177925.997125	48114929.653175	14859194.3805	43534352.003875	40500299.4846	23495195.518625	48827835.45872501	30452317.2865	19139753.808700006	30956465.450225007	31676390.3433	33008136.996	59805643.65035	20677255.479475	58582471.99375	33195776.23295	30898095.718925	36901077.792275	15777701.4593	31380426.1468	22412845.466050006	25699097.9125	42995351.366875	64804489.604675	26762753.0766	20402573.893675003	37590023.95010001	22362215.468525	64549363.6022	37991554.19042499	31154536.79625	18123533.2454	25561736.749675	50884518.517425	53139918.02645	33667109.40315	48564635.0651	36693517.72415	14165946.8665	15756601.44585	15287829.070625	26330494.426650006	32905596.42125	21562856.7754	10392292.4417	22206528.142275	28573383.518200006	23448708.7807	23788575.02945	36905995.1237	25941967.45875	22755190.544875	43971352.368075	18530631.675825	49954629.30985	33731553.483825	52032333.371275	19369321.931475	35228757.498875	45094770.27135	31944361.13125	31586920.21655	29835227.921675	19015419.941825
"[orf_trans_mod] RAD23/YEL037C SGDID:S000000763, Chr V from 82603-81407, reverse complement, Verified ORF, ""Protein with ubiquitin-like N terminus, recognizes and binds damaged DNA (with Rad4p) during nucleotide excision repair; regulates Rad4p levels, subunit of Nuclear Excision Repair Factor 2 (NEF2); homolog of human HR23A and HR23B proteins"""	675734.3710166665	763507.378257143	550307.58705	NA	1093625.188425	803816.769275	814005.2896499998	NA	699163.05795	1057312.886925	1063137.25815	1047621.8228333336	911672.3813	1091535.3113666668	866405.568	971937.6790333334	1135799.743	1078038.2545333332	1055355.22895	779522.93575	891389.7652	NA	1098347.4349	1108924.0228	1089979.745433333	901681.0228	1041624.11355	1228763.083725	873434.4409333335	1201638.3916	861768.4369	1379887.440333333	653100.8829000001	1036579.8559999999	1143248.02505	962355.9064	1308040.10765	947193.8799	900749.9159333331	NA	793857.3388	438511.7342	733820.0163	896541.538025	525282.31655	629785.5017	539752.01085	725998.9057	746616.005175	684167.21785	NA	610073.3971	544610.023775	872023.94155	613682.278625	691767.5897	900156.7097250002	704624.865425	707403.882875	NA	879467.0211000001	922625.4378	673729.489725	679599.0249	954284.57315	398238.1185	818261.2992	797126.95175	573285.91185	742857.391875	555046.3696	615209.8073333333	892244.3266749998	878331.322525	1052551.55755	667388.1087	920563.0331333331	1367917.3679999998	1145259.01965	1026558.78345	902068.1284333331	NA	509577.9165	494406.7065	508322.7243	746547.8538500002	376460.6096	NA	409374.4406	442770.1719	715551.41985	760956.0650500002	NA	600902.5724	1123103.166875	930154.028525	444374.2825	767747.33175	564836.1898	573771.4283333332	601624.30695	321760.5025	NA	876602.8498	1042177.239975	840093.2605249998	1149272.6503750002
